"biological_category","technology","extract_name","comment__rna_tube_","comment__sample_name_","comment__organism_","protocol_ref","parameter__rna_extraction_","extract_name_1","comment__rna_id_","comment__material_type_","comment__comment_on_rna_","protocol_ref_1","comment__lsid_","parameter__library_protocol_","library_name","comment__library_id_","protocol_ref_2","parameter__sequence_protocol_","parameter__machine_name_","parameter__run_name_","parameter__flowcell_channel_","file_name","comment__sequence_raw_file_","protocol_ref_3","parameter__sex_","file_name_1","fname","url"
"Cell line","HeliScopeCAGE","10821-111C2","10821-111C2","B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1","Homo sapiens","standard whole cell","standard whole cell","10821-111C2.rna","10821-111C2.rna","total RNA","comment:Sample category:""FANTOM5 update January1"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:2.15","OP-HELISCOPE-CAGE-v4.0",913,"OP-HELISCOPE-CAGE-v4.0","CNhs12331","CNhs12331","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch09","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","delve_align","female","B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep1.CNhs12331.10821-111C2.hg19.nobarcode.bam","cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1.CNhs12331.10821-111C2.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/B%2520lymphoblastoid%2520cell%2520line%253a%2520GM12878%2520ENCODE%252c%2520biol_rep1.CNhs12331.10821-111C2.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10822-111C3","10822-111C3","B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2","Homo sapiens","standard whole cell","standard whole cell","10822-111C3.rna","10822-111C3.rna","total RNA","comment:Sample category:""FANTOM5 update January1"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.02; A260A230:2.17","OP-HELISCOPE-CAGE-v4.0",913,"OP-HELISCOPE-CAGE-v4.0","CNhs12332","CNhs12332","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch06","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","delve_align","female","B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep2.CNhs12332.10822-111C3.hg19.nobarcode.bam","cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2.CNhs12332.10822-111C3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/B%2520lymphoblastoid%2520cell%2520line%253a%2520GM12878%2520ENCODE%252c%2520biol_rep2.CNhs12332.10822-111C3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10823-111C4","10823-111C4","B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3","Homo sapiens","standard whole cell","standard whole cell","10823-111C4.rna","10823-111C4.rna","total RNA","comment:Sample category:""FANTOM5 update January1"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.02; A260A230:2.19","OP-HELISCOPE-CAGE-v4.0",913,"OP-HELISCOPE-CAGE-v4.0","CNhs12333","CNhs12333","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch03","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","/sequencedata/heliscope/srf/2011_2_23_RikenRun9_1100FOV","delve_align","female","B%20lymphoblastoid%20cell%20line%3a%20GM12878%20ENCODE%2c%20biol_rep3.CNhs12333.10823-111C4.hg19.nobarcode.bam","cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3.CNhs12333.10823-111C4.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/B%2520lymphoblastoid%2520cell%2520line%253a%2520GM12878%2520ENCODE%252c%2520biol_rep3.CNhs12333.10823-111C4.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10422-106C8","10422-106C8","Burkitt's lymphoma cell line:DAUDI","Homo sapiens","standard whole cell","standard whole cell","10422-106C8.rna","10422-106C8.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""RIKEN Bioresource centre""; RNA lot number:""""; RNA Catalog number:""""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.12; A260A230:1.9","OP-HELISCOPE-CAGE-v3.12",692,"OP-HELISCOPE-CAGE-v3.12","CNhs10739","CNhs10739","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch21","/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV","/sequencedata/heliscope/srf/2010_09_06_R4_30Q_1100FOV","delve_align","male","Burkitt%27s%20lymphoma%20cell%20line%3aDAUDI.CNhs10739.10422-106C8.hg19.nobarcode.bam","cell_line.hCAGE-Burkitt's lymphoma cell line:DAUDI.CNhs10739.10422-106C8.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Burkitt%2527s%2520lymphoma%2520cell%2520line%253aDAUDI.CNhs10739.10422-106C8.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10476-106I8","10476-106I8","Burkitt's lymphoma cell line:RAJI","Homo sapiens","standard whole cell","standard whole cell","10476-106I8.rna","10476-106I8.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""RIKEN Bioresource centre""; RNA lot number:""""; RNA Catalog number:""""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:1.41","OP-HELISCOPE-CAGE-v3.12",896,"OP-HELISCOPE-CAGE-v3.12","CNhs11268","CNhs11268","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch19","/sequencedata/heliscope/srf/2010_10_29_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2010_10_29_R4_30Q_1100FOV/","delve_align","male","Burkitt%27s%20lymphoma%20cell%20line%3aRAJI.CNhs11268.10476-106I8.hg19.nobarcode.bam","cell_line.hCAGE-Burkitt's lymphoma cell line:RAJI.CNhs11268.10476-106I8.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Burkitt%2527s%2520lymphoma%2520cell%2520line%253aRAJI.CNhs11268.10476-106I8.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","10705-109H3","10705-109H3","Ewing's sarcoma cell line:Hs 863.T","Homo sapiens","standard whole cell","standard whole cell","10705-109H3.rna","10705-109H3.rna","total RNA","comment:Sample category:""FANTOM5 cell line""; company:""ATCC""; cell catalog:""CRL-7598"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.08; A260A230:2.05","OP-HELISCOPE-CAGE-v4.0",829,"OP-HELISCOPE-CAGE-v4.0","CNhs11836","CNhs11836","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch08","/sequencedata/heliscope/srf/2011_03_04_R2_30Q_1100FOV","/sequencedata/heliscope/srf/2011_03_04_R2_30Q_1100FOV","delve_align","female","Ewing%27s%20sarcoma%20cell%20line%3aHs%20863%2eT.CNhs11836.10705-109H3.hg19.nobarcode.bam","cell_line.hCAGE-Ewing's sarcoma cell line:Hs 863.T.CNhs11836.10705-109H3.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Ewing%2527s%2520sarcoma%2520cell%2520line%253aHs%2520863%252eT.CNhs11836.10705-109H3.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11898-125E8","11898-125E8","Hep-2 cells mock treated, biol_rep1","Homo sapiens","standard whole cell","standard whole cell","11898-125E8.rna","11898-125E8.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""3a"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.7; A260A280:2.02; A260A230:1.88","OP-HELISCOPE-CAGE-v4.0",1024,"OP-HELISCOPE-CAGE-v4.0","CNhs13479","CNhs13479","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch12","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","delve_align","male","Hep-2%20cells%20mock%20treated%2c%20biol_rep1.CNhs13479.11898-125E8.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells mock treated, biol_rep1.CNhs13479.11898-125E8.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520mock%2520treated%252c%2520biol_rep1.CNhs13479.11898-125E8.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11899-125E9","11899-125E9","Hep-2 cells mock treated, biol_rep2","Homo sapiens","standard whole cell","standard whole cell","11899-125E9.rna","11899-125E9.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""3b"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.6; A260A280:2.01; A260A230:2.11","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13500","CNhs13500","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch21","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20mock%20treated%2c%20biol_rep2.CNhs13500.11899-125E9.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells mock treated, biol_rep2.CNhs13500.11899-125E9.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520mock%2520treated%252c%2520biol_rep2.CNhs13500.11899-125E9.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11900-125F1","11900-125F1","Hep-2 cells mock treated, biol_rep3","Homo sapiens","standard whole cell","standard whole cell","11900-125F1.rna","11900-125F1.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""3c"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:2.02; A260A230:1.78","OP-HELISCOPE-CAGE-v4.0",1025,"OP-HELISCOPE-CAGE-v4.0","CNhs13501","CNhs13501","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc1.ch18","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","/sequencedata/heliscope/srf/2011_05_20_R4_30Q_1100FOV/","delve_align","male","Hep-2%20cells%20mock%20treated%2c%20biol_rep3.CNhs13501.11900-125F1.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells mock treated, biol_rep3.CNhs13501.11900-125F1.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520mock%2520treated%252c%2520biol_rep3.CNhs13501.11900-125F1.hg19.ctss.bed.gz"
"Cell line","HeliScopeCAGE","11890-125D9","11890-125D9","Hep-2 cells treated with Streptococci strain 5448, biol_rep1","Homo sapiens","standard whole cell","standard whole cell","11890-125D9.rna","11890-125D9.rna","total RNA","comment:Sample category:""FANTOM5 update 26May2011""; RNA lot number:""1a"";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.5; A260A280:2.01; A260A230:2.08","OP-HELISCOPE-CAGE-v4.0",1024,"OP-HELISCOPE-CAGE-v4.0","CNhs13477","CNhs13477","OP-HELISCOPE-sequencing-v1.0","OP-HELISCOPE-sequencing-v1.0","NA","NA","fc2.ch18","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","/sequencedata/heliscope/srf/2011_05_26_R2_30Q_1100FOV","delve_align","male","Hep-2%20cells%20treated%20with%20Streptococci%20strain%205448%2c%20biol_rep1.CNhs13477.11890-125D9.hg19.nobarcode.bam","cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep1.CNhs13477.11890-125D9.hg19.ctss.bed","http://fantom.gsc.riken.jp/5/datafiles/phase1.0/basic/human.cell_line.hCAGE/Hep-2%2520cells%2520treated%2520with%2520Streptococci%2520strain%25205448%252c%2520biol_rep1.CNhs13477.11890-125D9.hg19.ctss.bed.gz"
