"cell_type","experiment","fname","url"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.2.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.2.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.3.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.93.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.7.wig.gz"
