"cell","composite","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","grant","lab","localization","md5sum","orig_assembly","project","rna_extract","size","sub_id","table_name","type","view","filename","fname","url"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Feb 2009 Freeze",#2009-03-10#,#2009-12-10#,"wgEncodeEH000016","Gingeras","Affy","cell","c4049a3cfbb6b3e74cb776ee4e4309f9","hg18","wgEncode","total","13M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal.broadPeak.gz"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-12-09#,#2009-09-09#,"wgEncodeEH000012","Gingeras","Affy","cytosol","08d5feb7211a40c99a5ce374c6d0a169","hg18","wgEncode","longNonPolyA","12M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya.broadPeak.gz"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-21#,#2009-08-21#,"wgEncodeEH000002","Gingeras","Affy","cytosol","9cb30fe0ff4c6c6d9bf9add1957a77f5","hg18","wgEncode","longPolyA","13M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya.broadPeak.gz"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Sep 2009 Freeze",#2009-08-27#,#2010-05-27#,"wgEncodeEH000026","Gingeras","Affy","nucleolus","86fa269224f528b52bf15faa387af12d","hg18","wgEncode","total","14M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal.broadPeak.gz"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-21#,#2009-08-21#,"wgEncodeEH000003","Gingeras","Affy","nucleus","c8d8604e208bcec85075a97e2d855c71","hg18","wgEncode","longNonPolyA","17M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya.broadPeak.gz"
"GM12878","wgEncodeAffyRnaChip","RnaChip","ENCODE Feb 2009 Freeze",#2009-04-01#,#2010-01-01#,"wgEncodeEH000017","Gingeras","Affy","nucleus","e59db684bc92f9e33587c70d4e93de39","hg18","wgEncode","longPolyA","17M",2121,"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya.broadPeak.gz"
"HepG2","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-05-27#,#2010-02-27#,"wgEncodeEH000018","Gingeras","Affy","cytosol","c63550ce1c70b8698ff1ebe8c45006a4","hg18","wgEncode","longNonPolyA","10M",2121,"wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya.broadPeak.gz"
"HepG2","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-05-27#,#2010-02-27#,"wgEncodeEH000019","Gingeras","Affy","cytosol","dd5884e11508353026efa46e8abf7547","hg18","wgEncode","longPolyA","12M",2121,"wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya.broadPeak.gz"
"HepG2","wgEncodeAffyRnaChip","RnaChip","ENCODE Sep 2009 Freeze",#2009-08-27#,#2010-05-27#,"wgEncodeEH000027","Gingeras","Affy","nucleolus","0695013271cc3de1ed2ad9e939ba99a9","hg18","wgEncode","total","14M",2121,"wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal.broadPeak.gz"
"HepG2","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-07-17#,#2010-04-17#,"wgEncodeEH000024","Gingeras","Affy","nucleus","85a8b1587c51918a570d1f524c4c195f","hg18","wgEncode","longNonPolyA","18M",2121,"wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya","broadPeak","FiltTransfrags","wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya.broadPeak.gz"
