"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","set_type","sex","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"Control","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003075","GSM1003540","Bernstein","Broad",,"38ac0e49ade1286700ba02beda4b64b6",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"509M",,6000,,"wgEncodeBroadHistoneA549ControlDex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549ControlDex100nmSig.bigWig","wgEncodeBroadHistoneA549ControlDex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549ControlDex100nmSig.bigWig"
"Control","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003076","GSM1003541","Bernstein","Broad",,"5b42cbfad6c7d0f9d0d7561dc0f0fc7c",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"616M",,6014,,"wgEncodeBroadHistoneA549ControlEtoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549ControlEtoh02Sig.bigWig","wgEncodeBroadHistoneA549ControlEtoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549ControlEtoh02Sig.bigWig"
"CTCF","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003114","GSM1003582","Bernstein","Broad",,"8ef05d807e6d1018e5d0e040c7b45008",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.1M","ScriptureVPaperR3",7619,,"wgEncodeBroadHistoneA549CtcfDex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak.gz"
"CTCF","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003114","GSM1003582","Bernstein","Broad",,"04d3a7dd5d9b451b091eebd7dbae313e",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"318M",,7619,,"wgEncodeBroadHistoneA549CtcfDex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549CtcfDex100nmSig.bigWig","wgEncodeBroadHistoneA549CtcfDex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549CtcfDex100nmSig.bigWig"
"CTCF","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003115","GSM1003581","Bernstein","Broad",,"247a44e7ed22e50c049e0413cd081a34",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.3M","ScriptureVPaperR3",7622,,"wgEncodeBroadHistoneA549CtcfEtoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak.gz"
"CTCF","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003115","GSM1003581","Bernstein","Broad",,"54e27718de22aab126d3be912d442bf5",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"407M",,7622,,"wgEncodeBroadHistoneA549CtcfEtoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549CtcfEtoh02Sig.bigWig","wgEncodeBroadHistoneA549CtcfEtoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549CtcfEtoh02Sig.bigWig"
"H2A.Z","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003116","GSM1003580","Bernstein","Broad",,"149f2b07c8e6b42649d8c234aed562b8",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.8M","ScriptureVPaperR3",7620,,"wgEncodeBroadHistoneA549H2azDex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak.gz"
"H2A.Z","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003116","GSM1003580","Bernstein","Broad",,"233824b286b24bb5b17756bd5b941300",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"500M",,7620,,"wgEncodeBroadHistoneA549H2azDex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549H2azDex100nmSig.bigWig","wgEncodeBroadHistoneA549H2azDex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H2azDex100nmSig.bigWig"
"H2A.Z","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003117","GSM1003546","Bernstein","Broad",,"109520de0aeb44b96b0be38b9d872167",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.5M","ScriptureVPaperR3",7623,,"wgEncodeBroadHistoneA549H2azEtoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak.gz"
"H2A.Z","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003117","GSM1003546","Bernstein","Broad",,"faece08acf0fc98a999966a9fdb37fba",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"480M",,7623,,"wgEncodeBroadHistoneA549H2azEtoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H2azEtoh02Sig.bigWig","wgEncodeBroadHistoneA549H2azEtoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H2azEtoh02Sig.bigWig"
