"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","dcc_internal_notes","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_protocol_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","spike_in_pool","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"021WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000184",,,"GSM767854","Gingeras","CSHL","LID9005",,,"cell","c154c45c5de93dae94786c9f8dc04861",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"169M","Nist14",3124,,"wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1.bigWig"
"022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000184",,,"GSM767854","Gingeras","CSHL","LID9006",,,"cell","2dfe4c0935cfb01d7e179a264d607e52",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"164M","Nist14",3125,,"wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2.bigWig"
"021WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000184",,,"GSM767854","Gingeras","CSHL","LID9005",,,"cell","5f0c5ff9633fc0439d4e926d1e457857",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"173M","Nist14",3124,,"wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1.bigWig"
"022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-12-23#,#2011-09-23#,"wgEncodeEH000184",,,"GSM767854","Gingeras","CSHL","LID9006",,,"cell","6c39308975dd9a3aeb161a76a61b9534",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"168M","Nist14",3125,,"wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2.bigWig"
"021WC,022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000184",,,"GSM767854","Gingeras","CSHL","LID9005,LID9006",,"iIDR","cell","b830589743a3a6cb332fac235ecf9224",,"wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"16M","Nist14",3601,,"wgEncodeCshlLongRnaSeqA549CellPamContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqA549CellPamContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqA549CellPamContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPamContigs.bedRnaElements.gz"
"021WC,022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000143",,,"GSM758564","Gingeras","CSHL","LID8963,LID8964",,"iIDR","cell","04ed6fd4e425f94df02e1d287c5bcb81",,"wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"14M","Nist14",3602,,"wgEncodeCshlLongRnaSeqA549CellPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqA549CellPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqA549CellPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapContigs.bedRnaElements.gz"
"021WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000143",,,"GSM758564","Gingeras","CSHL","LID8963",,,"cell","16e2e0315b427257095cd941c0b0dd0b",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"659M","Nist14",2404,,"wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep1.bigWig"
"022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000143",,,"GSM758564","Gingeras","CSHL","LID8964",,,"cell","b1aa909c2a71ac9ac5a87c9cc555c527",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"717M","Nist14",2405,,"wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapMinusRawSigRep2.bigWig"
"021WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000143",,,"GSM758564","Gingeras","CSHL","LID8963",,,"cell","3462180fab45dfd6a1046ecaa622a93f",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"677M","Nist14",2404,,"wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep1.bigWig"
"022WC","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000143",,,"GSM758564","Gingeras","CSHL","LID8964",,,"cell","18000971b8ad4bf2a4867e7e4f887180",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"735M","Nist14",2405,,"wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapPlusRawSigRep2.bigWig"
"087C,088C","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-05-14#,"wgEncodeEH002624",,,"GSM981246","Gingeras","CSHL","LID45897,LID45898",,"iIDR","cytosol","f676bbb59f70c42876119f38b0568261",,"wgEncode","2x101D",,"longPolyA","Illumina_HiSeq_2000",,"16M","Nist14",6040,,"wgEncodeCshlLongRnaSeqA549CytosolPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqA549CytosolPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqA549CytosolPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CytosolPapContigs.bedRnaElements.gz"
"087C","A549","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-16#,#2012-05-14#,"wgEncodeEH002624",,,"GSM981246","Gingeras","CSHL","LID45897",,,"cytosol","98a7e27b17839cee681726edbc89a888",,"wgEncode","2x101D",3,"longPolyA","Illumina_HiSeq_2000",,"127M","Nist14",5766,,"wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep3","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep3.bigWig","wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CytosolPapMinusRep3.bigWig"
