"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","sex","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"8988T","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001057",,"Crawford","Duke",1,"31d1d1e53c63fd1238beb37689362e65","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExon8988tSimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExon8988tSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExon8988tSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExon8988tSimpleSignalRep1.broadPeak.gz"
"8988T","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001057","GSM993449","Crawford","Duke",2,"f65d920aafc51231e98c2a67e834be96",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExon8988tSimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExon8988tSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExon8988tSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExon8988tSimpleSignalRep1V2.bigBed"
"8988T","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001057",,"Crawford","Duke",1,"9bd6fd400e8455400f189f6837ce893a","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExon8988tSimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExon8988tSimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExon8988tSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExon8988tSimpleSignalRep2.broadPeak.gz"
"8988T","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001057","GSM993450","Crawford","Duke",2,"dc09a139acf1c424a1c7b13956bc949b",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExon8988tSimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExon8988tSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExon8988tSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExon8988tSimpleSignalRep2V2.bigBed"
"A549","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH002689","GSM993451","Crawford","Duke",2,"152e04270b0d4be66986c6594a56b5f6",,,"wgEncode",1,,"1.2M",6080,,"wgEncodeDukeAffyExonA549SimpleSignalRep1","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonA549SimpleSignalRep1.bigBed","wgEncodeDukeAffyExonA549SimpleSignalRep1.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonA549SimpleSignalRep1.bigBed"
"A549","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH002689","GSM993452","Crawford","Duke",2,"0b16d549875ace6c5d2369c24c567b91",,,"wgEncode",2,,"1.2M",6080,,"wgEncodeDukeAffyExonA549SimpleSignalRep2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonA549SimpleSignalRep2.bigBed","wgEncodeDukeAffyExonA549SimpleSignalRep2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonA549SimpleSignalRep2.bigBed"
"AoSMC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001058",,"Crawford","Duke",1,"24ec5cae5f1768f22286089e8c363ed9","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1","serum_free_media","broadPeak","SimpleSignal","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1.broadPeak.gz"
"AoSMC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001058","GSM993455","Crawford","Duke",2,"2884f9ccf2d62ce28d33aaa309d5cf2c",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1V2","serum_free_media","bigBed","SimpleSignal","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep1V2.bigBed"
"AoSMC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001058",,"Crawford","Duke",1,"26746701c1cc3ba2b162fa47605f72c9","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2","serum_free_media","broadPeak","SimpleSignal","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2.broadPeak.gz"
"AoSMC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001058","GSM993456","Crawford","Duke",2,"b9cff42fc87e66e7517ae91aceb40edc",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2V2","serum_free_media","bigBed","SimpleSignal","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonAosmcSerumfreeSimpleSignalRep2V2.bigBed"
