"antibody","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","md5sum","project","replicate","size","sub_id","table_name","type","view","filename","fname","url"
"Pol2","HCT-116","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-09-23#,#2011-01-20#,#2011-10-20#,"wgEncodeEH001427","GSM970210","Ruan","GIS-Ruan","CHH524M","9f5aac77cc663af8774b3ba74a8d84d8","wgEncode",1,"266K",4856,"wgEncodeGisChiaPetHct116Pol2InteractionsRep1","bed","Interactions","wgEncodeGisChiaPetHct116Pol2InteractionsRep1.bed.gz","wgEncodeGisChiaPetHct116Pol2InteractionsRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetHct116Pol2InteractionsRep1.bed.gz"
"Pol2","HCT-116","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",,#2011-09-23#,#2012-04-23#,"wgEncodeEH001427","GSM970210","Ruan","GIS-Ruan","CHH524M","43021235f89c2f9a448af7d04e8aa6e0","wgEncode",1,"90M",4856,"wgEncodeGisChiaPetHct116Pol2SigRep1","bigWig","Signal","wgEncodeGisChiaPetHct116Pol2SigRep1.bigWig","wgEncodeGisChiaPetHct116Pol2SigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetHct116Pol2SigRep1.bigWig"
"Pol2","HeLa-S3","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-09-24#,#2011-01-20#,#2011-10-20#,"wgEncodeEH001426","GSM970211","Ruan","GIS-Ruan","IHH025M_hg19","56ca928080cfc8fbc6b909a3cbc17c88","wgEncode",1,"1.5M",4872,"wgEncodeGisChiaPetHelas3Pol2InteractionsRep1","bed","Interactions","wgEncodeGisChiaPetHelas3Pol2InteractionsRep1.bed.gz","wgEncodeGisChiaPetHelas3Pol2InteractionsRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetHelas3Pol2InteractionsRep1.bed.gz"
"Pol2","HeLa-S3","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",,#2011-09-24#,#2012-04-23#,"wgEncodeEH001426","GSM970211","Ruan","GIS-Ruan","IHH025M_hg19","261cae0ed70cdfe4e0d7b459a36e771a","wgEncode",1,"83M",4872,"wgEncodeGisChiaPetHelas3Pol2SigRep1","bigWig","Signal","wgEncodeGisChiaPetHelas3Pol2SigRep1.bigWig","wgEncodeGisChiaPetHelas3Pol2SigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetHelas3Pol2SigRep1.bigWig"
"CTCF","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-08-30#,#2011-06-08#,#2012-03-08#,"wgEncodeEH002075","GSM970216","Ruan","GIS-Ruan","CTCF_K562M_L7","278affe33be8614e6bbd653c0d06b475","wgEncode",1,"928K",4307,"wgEncodeGisChiaPetK562CtcfInteractionsRep1","bed","Interactions","wgEncodeGisChiaPetK562CtcfInteractionsRep1.bed.gz","wgEncodeGisChiaPetK562CtcfInteractionsRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562CtcfInteractionsRep1.bed.gz"
"CTCF","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-08-30#,#2011-06-08#,#2012-03-08#,"wgEncodeEH002075","GSM970216","Ruan","GIS-Ruan","CTCF_K562M_L7","08f139c43b36ea16d0e8c39b3516bdfb","wgEncode",1,"104M",4307,"wgEncodeGisChiaPetK562CtcfSigRep1","bigWig","Signal","wgEncodeGisChiaPetK562CtcfSigRep1.bigWig","wgEncodeGisChiaPetK562CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562CtcfSigRep1.bigWig"
"Pol2","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-02-05#,#2011-01-20#,#2011-10-20#,"wgEncodeEH001428","GSM970213","Ruan","GIS-Ruan","CHK019M_L2_lane13","b2e00d8ace7accd6774c6243d1a22fa2","wgEncode",1,"7.9M",4299,"wgEncodeGisChiaPetK562Pol2InteractionsRep1","bed","Interactions","wgEncodeGisChiaPetK562Pol2InteractionsRep1.bed.gz","wgEncodeGisChiaPetK562Pol2InteractionsRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562Pol2InteractionsRep1.bed.gz"
"Pol2","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-02-05#,#2011-01-20#,#2011-10-20#,"wgEncodeEH001428","GSM970213","Ruan","GIS-Ruan","CHK019M_L2_lane24","62301d28728cb9b32d3af79d68a5ffb5","wgEncode",2,"8.1M",4300,"wgEncodeGisChiaPetK562Pol2InteractionsRep2","bed","Interactions","wgEncodeGisChiaPetK562Pol2InteractionsRep2.bed.gz","wgEncodeGisChiaPetK562Pol2InteractionsRep2.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562Pol2InteractionsRep2.bed.gz"
"Pol2","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-08-23#,#2011-02-05#,#2011-11-04#,"wgEncodeEH001428","GSM970213","Ruan","GIS-Ruan","CHK019M_L2_lane13","c92644a2383d92a1e90d100706cb492b","wgEncode",1,"80M",4299,"wgEncodeGisChiaPetK562Pol2SigRep1","bigWig","Signal","wgEncodeGisChiaPetK562Pol2SigRep1.bigWig","wgEncodeGisChiaPetK562Pol2SigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562Pol2SigRep1.bigWig"
"Pol2","K562","wgEncodeGisChiaPet","ChiaPet","ENCODE Mar 2012 Freeze",#2011-08-19#,#2011-02-05#,#2011-11-04#,"wgEncodeEH001428","GSM970213","Ruan","GIS-Ruan","CHK019M_L2_lane24","c721512fc6fa8333dba329dfc2600479","wgEncode",2,"81M",4300,"wgEncodeGisChiaPetK562Pol2SigRep2","bigWig","Signal","wgEncodeGisChiaPetK562Pol2SigRep2.bigWig","wgEncodeGisChiaPetK562Pol2SigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeGisChiaPet/wgEncodeGisChiaPetK562Pol2SigRep2.bigWig"
