"antibody","cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","protocol","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"ATF3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-16#,#2012-05-16#,"wgEncodeEH002288","GSM1010789","Myers","HudsonAlpha","SL6010",,"9a033fe031324ce8e9510144c674a79d",,,"wgEncode","v042211.1",1,"exp","117K","MACS",4747,,"wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1","EtOH_0.02pct","broadPeak","Peaks","wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak.gz","wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak.gz"
"ATF3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-16#,#2012-05-16#,"wgEncodeEH002288","GSM1010789","Myers","HudsonAlpha","SL7273",,"e314747374d7d8fbff011d21f63a34e9",,,"wgEncode","v042211.1",2,"exp","132K","MACS",4747,,"wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2","EtOH_0.02pct","broadPeak","Peaks","wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2.broadPeak.gz","wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2.broadPeak.gz"
"ATF3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-16#,#2012-05-16#,"wgEncodeEH002288","GSM1010789","Myers","HudsonAlpha","SL6010",,"87fe3cf050fdbcd40979c41e263d035f",,,"wgEncode","v042211.1",1,"exp","8.1M",,4747,,"wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1","EtOH_0.02pct","bigWig","RawSignal","wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1.bigWig","wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1.bigWig"
"ATF3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-16#,#2012-05-16#,"wgEncodeEH002288","GSM1010789","Myers","HudsonAlpha","SL7273",,"b01534f9d4b9ada083539567ea58c1f8",,,"wgEncode","v042211.1",2,"exp","13M",,4747,,"wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2","EtOH_0.02pct","bigWig","RawSignal","wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2.bigWig","wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2.bigWig"
"BCL3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-12#,#2012-06-12#,"wgEncodeEH002303","GSM1010775","Myers","HudsonAlpha","SL6596",,"45f9bfead1110a47336c763713859fd3",,,"wgEncode","v042211.1",1,"exp","224K","MACS",4785,,"wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1","EtOH_0.02pct","broadPeak","Peaks","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak.gz","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak.gz"
"BCL3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-12#,#2012-06-12#,"wgEncodeEH002303","GSM1010775","Myers","HudsonAlpha","SL7109",,"196865102c9602729f763c5c4e7fcd78",,,"wgEncode","v042211.1",2,"exp","235K","MACS",4785,,"wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2","EtOH_0.02pct","broadPeak","Peaks","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2.broadPeak.gz","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2.broadPeak.gz"
"BCL3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-12#,#2012-06-12#,"wgEncodeEH002303","GSM1010775","Myers","HudsonAlpha","SL6596",,"d8885d156304ed9145d23089f48303b9",,,"wgEncode","v042211.1",1,"exp","18M",,4785,,"wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1","EtOH_0.02pct","bigWig","RawSignal","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1.bigWig","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1.bigWig"
"BCL3","A549","wgEncodeHaibTfbs","SL6021","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-12#,#2012-06-12#,"wgEncodeEH002303","GSM1010775","Myers","HudsonAlpha","SL7109",,"25821c3c4d51a44d8e8989f251a2a846",,,"wgEncode","v042211.1",2,"exp","17M",,4785,,"wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2","EtOH_0.02pct","bigWig","RawSignal","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2.bigWig","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2.bigWig"
"CEBPB_(SC-150)","A549","wgEncodeHaibTfbs","SL13321","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-29#,#2013-04-29#,"wgEncodeEH003271","GSM1010871","Myers","HudsonAlpha","SL12637",,"048980e3bb18a99d87d004a90bf5bfa7",,,"wgEncode","v042211.1",1,"exp","403K","MACS",7694,,"wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1","None","broadPeak","Peaks","wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak.gz","wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak.gz"
"CEBPB_(SC-150)","A549","wgEncodeHaibTfbs","SL16753","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-29#,#2013-04-29#,"wgEncodeEH003271","GSM1010871","Myers","HudsonAlpha","SL16299",,"985e3827d504c369167bba0078c744d5",,,"wgEncode","v042211.1",2,"exp","248K","MACS",7694,,"wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2","None","broadPeak","Peaks","wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2.broadPeak.gz","wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2.broadPeak.gz"
"CEBPB_(SC-150)","A549","wgEncodeHaibTfbs","SL13321","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-29#,#2013-04-29#,"wgEncodeEH003271","GSM1010871","Myers","HudsonAlpha","SL12637",,"7844e7deef0fb24056cd617bb89ccf3b",,,"wgEncode","v042211.1",1,"exp","212M",,7694,,"wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1","None","bigWig","RawSignal","wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1.bigWig","wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1.bigWig"
