"antibody","cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"CTCF","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002078","GSM822289","Crawford","UT-A","baseAlignCounts.pl v 1","f89f08bdb4fcda3afad134d9f2c137a8",,,"wgEncode",,"exp","1.3G",4935,"wgEncodeOpenChromChipA549CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipA549CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipA549CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549CtcfBaseOverlapSignal.bigWig"
"CTCF","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002078","GSM822289","Crawford","UT-A","p-value cutoff: 0.05","d569f0c82f20b4f8dc5d0dd7534be445",,,"wgEncode",1,"exp","1.1M",4935,"wgEncodeOpenChromChipA549CtcfPkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipA549CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipA549CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549CtcfPkRep1.narrowPeak.gz"
"CTCF","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002078","GSM822289","Crawford","UT-A","fseq v 1.84, iff_A549","afabd35729567419d985268315dc56ee",,,"wgEncode",,"exp","3.4G",4935,"wgEncodeOpenChromChipA549CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipA549CtcfSig.bigWig","wgEncodeOpenChromChipA549CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549CtcfSig.bigWig"
"Input","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002077","GSM822307","Crawford","UT-A","fseq v 1.84","36954296ee8439c0121139ad5be57f7c",,,"wgEncode",,"input","4.2G",4906,"wgEncodeOpenChromChipA549InputSig","None","bigWig","Signal","wgEncodeOpenChromChipA549InputSig.bigWig","wgEncodeOpenChromChipA549InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549InputSig.bigWig"
"Pol2","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002079","GSM822288","Crawford","UT-A","baseAlignCounts.pl v 1","15cc6cfc57117ebc2caab65230ce4433",,,"wgEncode",,"exp","1.3G",4934,"wgEncodeOpenChromChipA549Pol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipA549Pol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipA549Pol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549Pol2BaseOverlapSignal.bigWig"
"Pol2","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002079","GSM822288","Crawford","UT-A","p-value cutoff: 0.05","edf11360e951aea8bcb51a66682293a3",,,"wgEncode",1,"exp","1.2M",4934,"wgEncodeOpenChromChipA549Pol2PkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipA549Pol2PkRep1.narrowPeak.gz","wgEncodeOpenChromChipA549Pol2PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549Pol2PkRep1.narrowPeak.gz"
"Pol2","A549","wgEncodeOpenChromChip","wgEncodeEH002077","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-29#,"wgEncodeEH002079","GSM822288","Crawford","UT-A","fseq v 1.84, iff_A549","4655edee6a696106fe056124c1899e05",,,"wgEncode",,"exp","2.8G",4934,"wgEncodeOpenChromChipA549Pol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipA549Pol2Sig.bigWig","wgEncodeOpenChromChipA549Pol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipA549Pol2Sig.bigWig"
"Input","Colon_OC","wgEncodeOpenChromChip","wgEncodeEH003445","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003445","GSM1006888","Crawford","UT-A","fseq v 1.84","3181d55ec6bc75f82de0f65cd4d837b0",,,"wgEncode",,"input","3.5G",7524,"wgEncodeOpenChromChipColonocInputSig",,"bigWig","Signal","wgEncodeOpenChromChipColonocInputSig.bigWig","wgEncodeOpenChromChipColonocInputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipColonocInputSig.bigWig"
"CTCF","Fibrobl","wgEncodeOpenChromChip","wgEncodeEH001128","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-13#,#2011-07-13#,"wgEncodeEH001127","GSM822281","Crawford","UT-A","privacy-noSequence baseAlignCounts.pl v 1","dab29e01f678fd54430857815061de7a",,"hg19","wgEncode",,"exp","173M",2480,"wgEncodeOpenChromChipFibroblCtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipFibroblCtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipFibroblCtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipFibroblCtcfBaseOverlapSignal.bigWig"
"CTCF","Fibrobl","wgEncodeOpenChromChip","wgEncodeEH001128","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-13#,#2011-07-13#,"wgEncodeEH001127","GSM822281","Crawford","UT-A","privacy-noSequence p-value cutoff: 0.05","a96e9f71210ee3c26b25b88cbd17ea77",,"hg19","wgEncode",,"exp","1.2M",2480,"wgEncodeOpenChromChipFibroblCtcfPkRep1","None","narrowPeak","Peaks","wgEncodeOpenChromChipFibroblCtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipFibroblCtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipFibroblCtcfPkRep1.narrowPeak.gz"
"CTCF","Fibrobl","wgEncodeOpenChromChip","wgEncodeEH001128","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-13#,#2011-07-13#,"wgEncodeEH001127","GSM822281","Crawford","UT-A","privacy-noSequence fseq v 1.84, iff_FB8470","fe21c95a32bb0a41d7476f008b46ce6b",,"hg19","wgEncode",,"exp","4.1G",2480,"wgEncodeOpenChromChipFibroblCtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipFibroblCtcfSig.bigWig","wgEncodeOpenChromChipFibroblCtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipFibroblCtcfSig.bigWig"
