"cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"8988T","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001103","GSM816667","Crawford","Duke","baseAlignCounts.pl v 1","01bf53d93c612b61dae7c94ebf2a8c4b",,"hg19","wgEncode",,"998M",2786,,"wgEncodeOpenChromDnase8988tBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnase8988tBaseOverlapSignal.bigWig","wgEncodeOpenChromDnase8988tBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnase8988tBaseOverlapSignal.bigWig"
"8988T","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001103","GSM816667","Crawford","Duke","p-value cutoff: 0.05","3760564816698c035f8b67c90c3b7759",,"hg19","wgEncode",,"2.4M",2786,,"wgEncodeOpenChromDnase8988tPk",,"narrowPeak","Peaks","wgEncodeOpenChromDnase8988tPk.narrowPeak.gz","wgEncodeOpenChromDnase8988tPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnase8988tPk.narrowPeak.gz"
"8988T","wgEncodeOpenChromDnase","generic_female","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-11-01#,#2011-08-01#,"wgEncodeEH001103","GSM816667","Crawford","Duke","fseq v 1.84, iff_generic_female","ca987ce9a2e26f80d96885a3919745eb",,"hg19","wgEncode",,"3.4G",2786,,"wgEncodeOpenChromDnase8988tSig",,"bigWig","Signal","wgEncodeOpenChromDnase8988tSig.bigWig","wgEncodeOpenChromDnase8988tSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnase8988tSig.bigWig"
"A549","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001095","GSM816649","Crawford","Duke","baseAlignCounts.pl v 1","c26758d4a631ed71ccb5580860805844",,"hg19","wgEncode",,"1.3G",2493,,"wgEncodeOpenChromDnaseA549BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseA549BaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseA549BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseA549BaseOverlapSignal.bigWig"
"A549","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001095","GSM816649","Crawford","Duke","p-value cutoff: 0.05","b4dc3b9fa2713e412c3e62028c7d6b70",,"hg19","wgEncode",,"2.0M",2493,,"wgEncodeOpenChromDnaseA549Pk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseA549Pk.narrowPeak.gz","wgEncodeOpenChromDnaseA549Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseA549Pk.narrowPeak.gz"
"A549","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001095","GSM816649","Crawford","Duke","fseq v 1.84, iff_generic_male","4e2f08b7836c85b5e80f5724a3635bcb",,"hg19","wgEncode",,"3.3G",2493,,"wgEncodeOpenChromDnaseA549Sig",,"bigWig","Signal","wgEncodeOpenChromDnaseA549Sig.bigWig","wgEncodeOpenChromDnaseA549Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseA549Sig.bigWig"
"Adult_CD4_Th0","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002562","GSM1008572","Crawford","Duke","baseAlignCounts.pl v 1","a59e24208959cfeedaf15716da48a74c",,,"wgEncode",,"1015M",4924,,"wgEncodeOpenChromDnaseAdultcd4th0BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseAdultcd4th0BaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseAdultcd4th0BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th0BaseOverlapSignal.bigWig"
"Adult_CD4_Th0","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002562","GSM1008572","Crawford","Duke","p-value cutoff: 0.05","0f3c0fcf83b5d596cbf90fb910c0c289",,,"wgEncode",,"2.1M",4924,,"wgEncodeOpenChromDnaseAdultcd4th0Pk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseAdultcd4th0Pk.narrowPeak.gz","wgEncodeOpenChromDnaseAdultcd4th0Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th0Pk.narrowPeak.gz"
"Adult_CD4_Th0","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002562","GSM1008572","Crawford","Duke","fseq v 1.84, iff_generic_male","da12074b643cfb47ef75db65b5570f83",,,"wgEncode",,"3.5G",4924,,"wgEncodeOpenChromDnaseAdultcd4th0Sig",,"bigWig","Signal","wgEncodeOpenChromDnaseAdultcd4th0Sig.bigWig","wgEncodeOpenChromDnaseAdultcd4th0Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th0Sig.bigWig"
"Adult_CD4_Th1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002563","GSM1008604","Crawford","Duke","baseAlignCounts.pl v 1","24980c74ddfc35d2b7c39a7f3ae8fcff",,,"wgEncode",,"919M",5389,,"wgEncodeOpenChromDnaseAdultcd4th1BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseAdultcd4th1BaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseAdultcd4th1BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th1BaseOverlapSignal.bigWig"
"Adult_CD4_Th1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002563","GSM1008604","Crawford","Duke","p-value cutoff: 0.05","a96d3d828b32078015567535e20b935c",,,"wgEncode",,"2.3M",5389,,"wgEncodeOpenChromDnaseAdultcd4th1Pk",,"narrowPeak","Peaks","wgEncodeOpenChromDnaseAdultcd4th1Pk.narrowPeak.gz","wgEncodeOpenChromDnaseAdultcd4th1Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th1Pk.narrowPeak.gz"
"Adult_CD4_Th1","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Mar 2012 Freeze",,#2012-02-03#,#2012-11-03#,"wgEncodeEH002563","GSM1008604","Crawford","Duke","fseq v 1.84, iff_generic_male","eb81c7bacc3addebc38aeee7a9fd4a4a",,,"wgEncode",,"3.4G",5389,,"wgEncodeOpenChromDnaseAdultcd4th1Sig",,"bigWig","Signal","wgEncodeOpenChromDnaseAdultcd4th1Sig.bigWig","wgEncodeOpenChromDnaseAdultcd4th1Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAdultcd4th1Sig.bigWig"
"AoSMC","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-19#,#2010-01-09#,#2010-10-08#,"wgEncodeEH000601","GSM816638","Crawford","Duke","private-noSequence baseAlignCounts.pl v 1","b08c026f2dea30657009dfb3dc0cf221",,"hg18","wgEncode",,"1.1G",1678,,"wgEncodeOpenChromDnaseAosmcSerumfreeBaseOverlapSignal","serum_free_media","bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseAosmcSerumfreeBaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseAosmcSerumfreeBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAosmcSerumfreeBaseOverlapSignal.bigWig"
"AoSMC","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-19#,#2010-01-09#,#2010-10-08#,"wgEncodeEH000601","GSM816638","Crawford","Duke","private-noSequence p-value cutoff: 0.05","224c4d242ba4da5132d3bca1604c435e",,"hg18","wgEncode",,"2.2M",1678,,"wgEncodeOpenChromDnaseAosmcSerumfreePk","serum_free_media","narrowPeak","Peaks","wgEncodeOpenChromDnaseAosmcSerumfreePk.narrowPeak.gz","wgEncodeOpenChromDnaseAosmcSerumfreePk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAosmcSerumfreePk.narrowPeak.gz"
"AoSMC","wgEncodeOpenChromDnase","generic_male","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-19#,#2010-01-09#,#2010-10-08#,"wgEncodeEH000601","GSM816638","Crawford","Duke","private-noSequence fseq v 1.84, iff_generic_male","a3e33c4474c4bb23f4c668c9d10b8f04",,"hg18","wgEncode",,"3.5G",1678,,"wgEncodeOpenChromDnaseAosmcSerumfreeSig","serum_free_media","bigWig","Signal","wgEncodeOpenChromDnaseAosmcSerumfreeSig.bigWig","wgEncodeOpenChromDnaseAosmcSerumfreeSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseAosmcSerumfreeSig.bigWig"
"CD20+_RO01794","wgEncodeOpenChromDnase",,"DnaseSeq","ENCODE Jul 2012 Freeze",,#2012-04-25#,#2013-01-25#,"wgEncodeEH003465","GSM1008588","Crawford","Duke","baseAlignCounts.pl v 1","2187e905d3ccda5f0683e839d32cc378",,,"wgEncode",,"1.3G",6861,,"wgEncodeOpenChromDnaseCd20ro01794BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromDnaseCd20ro01794BaseOverlapSignal.bigWig","wgEncodeOpenChromDnaseCd20ro01794BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseCd20ro01794BaseOverlapSignal.bigWig"
