"cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","baseAlignCounts.pl v 1","547a671ced5d6dc06b2f9a9b6f4bc221",,"hg19","wgEncode",,"1.8G",3496,"wgEncodeOpenChromFaireA549BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","p-value cutoff: 0.1","652def423fe6517827376446be57130e",,"hg19","wgEncode",,"3.2M",3496,"wgEncodeOpenChromFaireA549Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireA549Pk.narrowPeak.gz","wgEncodeOpenChromFaireA549Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549Pk.narrowPeak.gz"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","fseq v 1.84, iff_generic_male","523430c69a0e56a98129574cb914c417",,"hg19","wgEncode",,"2.8G",3496,"wgEncodeOpenChromFaireA549Sig",,"bigWig","Signal","wgEncodeOpenChromFaireA549Sig.bigWig","wgEncodeOpenChromFaireA549Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549Sig.bigWig"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","baseAlignCounts.pl v 1","5a8e95edd7993bb2f34a99dd7df46df5","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaBaseOverlapSignal.bigwig","hg19","wgEncode",,"1.6G",2481,"wgEncodeOpenChromFaireAstrocyBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","p-value cutoff: 0.1","4f8ed48117a0a6e308fa16f37d309807","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaPk.narrowPeak.gz","hg19","wgEncode",,"3.6M",2481,"wgEncodeOpenChromFaireAstrocyPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireAstrocyPk.narrowPeak.gz","wgEncodeOpenChromFaireAstrocyPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocyPk.narrowPeak.gz"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","fseq v 1.84, iff_generic_male","9986af0f897a7edb7d4c3edbfb0d9988","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaSig.bigWig","hg19","wgEncode",,"2.7G",2481,"wgEncodeOpenChromFaireAstrocySig",,"bigWig","Signal","wgEncodeOpenChromFaireAstrocySig.bigWig","wgEncodeOpenChromFaireAstrocySig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocySig.bigWig"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","baseAlignCounts.pl v 1","b23037e96d480c0a836a9a48d8e14fa2",,,"wgEncode",,"1.9G",7103,"wgEncodeOpenChromFaireColonocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","p-value cutoff: 0.1","9d35119cb976572361dfb90129435a86",,,"wgEncode",,"3.6M",7103,"wgEncodeOpenChromFaireColonocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireColonocPk.narrowPeak.gz","wgEncodeOpenChromFaireColonocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocPk.narrowPeak.gz"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","fseq v 1.84, iff_generic_male","5aee65c7d4ebee8b256b31463a55eeb6",,,"wgEncode",,"2.9G",7103,"wgEncodeOpenChromFaireColonocSig",,"bigWig","Signal","wgEncodeOpenChromFaireColonocSig.bigWig","wgEncodeOpenChromFaireColonocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocSig.bigWig"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","baseAlignCounts.pl v 1","2a6e974e49ecf46650e0dcd93250f016",,,"wgEncode",,"1.9G",7348,"wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","p-value cutoff: 0.1","04a0091a8e1a284f74bf1c9af30628d7",,,"wgEncode",,"3.2M",7348,"wgEncodeOpenChromFaireEndometriumocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireEndometriumocPk.narrowPeak.gz","wgEncodeOpenChromFaireEndometriumocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocPk.narrowPeak.gz"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","fseq v 1.84, iff_generic_female","6f94612534c35fc77f5484d4a5da1f8a",,,"wgEncode",,"2.9G",7348,"wgEncodeOpenChromFaireEndometriumocSig",,"bigWig","Signal","wgEncodeOpenChromFaireEndometriumocSig.bigWig","wgEncodeOpenChromFaireEndometriumocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocSig.bigWig"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","baseAlignCounts.pl v 1","bcbdc51af469fcf554226d14bcf888ca",,,"wgEncode",,"1.8G",7319,"wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","p-value cutoff: 0.1","9867795a4fb65fa67a9f4d998f88892d",,,"wgEncode",,"4.0M",7319,"wgEncodeOpenChromFaireFrontalcortexocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak.gz","wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak.gz"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","fseq v 1.84, iff_generic_female","af7b6f7963ebd23b95fa557622581073",,,"wgEncode",,"3.0G",7319,"wgEncodeOpenChromFaireFrontalcortexocSig",,"bigWig","Signal","wgEncodeOpenChromFaireFrontalcortexocSig.bigWig","wgEncodeOpenChromFaireFrontalcortexocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocSig.bigWig"
