"cell","composite","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","project","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"Gliobla","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002257","GSM1002662","Crawford","Duke",1,"cbb62ef8ce878c352ce5ff5f366025e8","wgEncode","7.7M",4630,"wgEncodeOpenChromSynthGlioblaPk","None","bed","Peaks","wgEncodeOpenChromSynthGlioblaPk.bed.gz","wgEncodeOpenChromSynthGlioblaPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGlioblaPk.bed.gz"
"GM12878","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001323","GSM1002651","Crawford","Duke",1,"9eca10ae9befc4b05367fc0067adc047","wgEncode","7.3M",3273,"wgEncodeOpenChromSynthGm12878Pk","None","bed","Peaks","wgEncodeOpenChromSynthGm12878Pk.bed.gz","wgEncodeOpenChromSynthGm12878Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGm12878Pk.bed.gz"
"GM12891","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002253","GSM1002666","Crawford","Duke",1,"09fd9068a3d09434e9fd9e1930d9a83a","wgEncode","8.3M",4630,"wgEncodeOpenChromSynthGm12891Pk","None","bed","Peaks","wgEncodeOpenChromSynthGm12891Pk.bed.gz","wgEncodeOpenChromSynthGm12891Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGm12891Pk.bed.gz"
"GM12892","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002254","GSM1002665","Crawford","Duke",1,"e2cef743d0698bbdd3f91d70babd0e83","wgEncode","8.4M",4630,"wgEncodeOpenChromSynthGm12892Pk","None","bed","Peaks","wgEncodeOpenChromSynthGm12892Pk.bed.gz","wgEncodeOpenChromSynthGm12892Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGm12892Pk.bed.gz"
"GM18507","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002255","GSM1002664","Crawford","Duke",1,"0603900586dd9aa4987fe41dddce5e86","wgEncode","4.9M",4630,"wgEncodeOpenChromSynthGm18507Pk","None","bed","Peaks","wgEncodeOpenChromSynthGm18507Pk.bed.gz","wgEncodeOpenChromSynthGm18507Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGm18507Pk.bed.gz"
"GM19239","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002256","GSM1002663","Crawford","Duke",1,"3b431cec383917eb19087f88eaff6082","wgEncode","8.6M",4630,"wgEncodeOpenChromSynthGm19239Pk","None","bed","Peaks","wgEncodeOpenChromSynthGm19239Pk.bed.gz","wgEncodeOpenChromSynthGm19239Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthGm19239Pk.bed.gz"
"H1-hESC","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001324","GSM1002655","Crawford","Duke",1,"8a7ea29f5487682f2419bd05c93de25c","wgEncode","8.0M",3273,"wgEncodeOpenChromSynthH1hescPk","None","bed","Peaks","wgEncodeOpenChromSynthH1hescPk.bed.gz","wgEncodeOpenChromSynthH1hescPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthH1hescPk.bed.gz"
"HeLa-S3","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002259","GSM1002660","Crawford","Duke",1,"e6438d386e4365418e68ce370c272c12","wgEncode","8.3M",4630,"wgEncodeOpenChromSynthHelas3Ifna4hPk","IFNa4h","bed","Peaks","wgEncodeOpenChromSynthHelas3Ifna4hPk.bed.gz","wgEncodeOpenChromSynthHelas3Ifna4hPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthHelas3Ifna4hPk.bed.gz"
"HeLa-S3","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001326","GSM1002653","Crawford","Duke",1,"eb3a68156fc116417ba55e138517b93a","wgEncode","8.0M",3273,"wgEncodeOpenChromSynthHelas3Pk","None","bed","Peaks","wgEncodeOpenChromSynthHelas3Pk.bed.gz","wgEncodeOpenChromSynthHelas3Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthHelas3Pk.bed.gz"
"HepG2","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001327","GSM1002654","Crawford","Duke",1,"8ac1aaf0b790e9c5dd97ba95d485f02e","wgEncode","6.4M",3273,"wgEncodeOpenChromSynthHepg2Pk","None","bed","Peaks","wgEncodeOpenChromSynthHepg2Pk.bed.gz","wgEncodeOpenChromSynthHepg2Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthHepg2Pk.bed.gz"
"HTR8svn","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002258","GSM1002661","Crawford","Duke",1,"90e341c4d507edb004db6c5c494838da","wgEncode","5.4M",4630,"wgEncodeOpenChromSynthHtr8Pk","None","bed","Peaks","wgEncodeOpenChromSynthHtr8Pk.bed.gz","wgEncodeOpenChromSynthHtr8Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthHtr8Pk.bed.gz"
"HUVEC","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001325","GSM1002656","Crawford","Duke",1,"709ea9923efeb86611291422487a074f","wgEncode","8.8M",3273,"wgEncodeOpenChromSynthHuvecPk","None","bed","Peaks","wgEncodeOpenChromSynthHuvecPk.bed.gz","wgEncodeOpenChromSynthHuvecPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthHuvecPk.bed.gz"
"K562","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001328","GSM1002657","Crawford","Duke",1,"f2aaa141709427412637165beb79e8e8","wgEncode","8.6M",3273,"wgEncodeOpenChromSynthK562Pk","None","bed","Peaks","wgEncodeOpenChromSynthK562Pk.bed.gz","wgEncodeOpenChromSynthK562Pk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthK562Pk.bed.gz"
"Medullo","wgEncodeOpenChromSynth","Combined","ENCODE Mar 2012 Freeze",#2011-07-28#,#2012-04-28#,"wgEncodeEH002260","GSM1002667","Crawford","Duke",1,"ecb7af99237359208914944a4d5d84e4","wgEncode","7.9M",4630,"wgEncodeOpenChromSynthMedulloPk","None","bed","Peaks","wgEncodeOpenChromSynthMedulloPk.bed.gz","wgEncodeOpenChromSynthMedulloPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthMedulloPk.bed.gz"
"NHEK","wgEncodeOpenChromSynth","Combined","ENCODE Jan 2011 Freeze",#2011-01-17#,#2011-10-17#,"wgEncodeEH001329","GSM1002658","Crawford","Duke",1,"ec74a1db24a84a646d9b563c85bc6f93","wgEncode","8.3M",3273,"wgEncodeOpenChromSynthNhekPk","None","bed","Peaks","wgEncodeOpenChromSynthNhekPk.bed.gz","wgEncodeOpenChromSynthNhekPk.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromSynth/wgEncodeOpenChromSynthNhekPk.bed.gz"
