"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","software_version","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"021WC","A549","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001158",,"GSM849359","Gingeras","RIKEN","K16",,"cell","cb45e712458ae6c29623d0e1cf7bc5b2",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"65M",,3481,,"wgEncodeRikenCageA549CellPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageA549CellPapMinusSignalRep1.bigWig","wgEncodeRikenCageA549CellPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapMinusSignalRep1.bigWig"
"022WC","A549","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001158",,"GSM849359","Gingeras","RIKEN","K17",,"cell","cac38e9a81172791a918cdfb5c6775f3",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"53M",,3482,,"wgEncodeRikenCageA549CellPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageA549CellPapMinusSignalRep2.bigWig","wgEncodeRikenCageA549CellPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapMinusSignalRep2.bigWig"
"021WC","A549","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001158",,"GSM849359","Gingeras","RIKEN","K16",,"cell","189929e27bbae8fbc603a66fd646e238",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"67M",,3481,,"wgEncodeRikenCageA549CellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageA549CellPapPlusSignalRep1.bigWig","wgEncodeRikenCageA549CellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapPlusSignalRep1.bigWig"
"022WC","A549","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2011-01-21#,#2011-10-21#,"wgEncodeEH001158",,"GSM849359","Gingeras","RIKEN","K17",,"cell","286cb07c282eb64f4204349d61fa3678",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"55M",,3482,,"wgEncodeRikenCageA549CellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageA549CellPapPlusSignalRep2.bigWig","wgEncodeRikenCageA549CellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapPlusSignalRep2.bigWig"
"087C","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002736",,"GSM979632","Gingeras","RIKEN","CThi10049",,"cytosol","7a79e9bc5f9edf7308728252d3bf6e11",,"wgEncode","1x50",3,"longPolyA","Illumina_HiSeq_2000",,"26M",,6595,,"wgEncodeRikenCageA549CytosolPapMinusRawRep3","bigWig","MinusSignal","wgEncodeRikenCageA549CytosolPapMinusRawRep3.bigWig","wgEncodeRikenCageA549CytosolPapMinusRawRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapMinusRawRep3.bigWig"
"088C","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002736",,"GSM979632","Gingeras","RIKEN","CThi10059",,"cytosol","d5408590ab9ea722a02563e50cae78c3",,"wgEncode","1x50",4,"longPolyA","Illumina_HiSeq_2000",,"26M",,6626,,"wgEncodeRikenCageA549CytosolPapMinusRawRep4","bigWig","MinusSignal","wgEncodeRikenCageA549CytosolPapMinusRawRep4.bigWig","wgEncodeRikenCageA549CytosolPapMinusRawRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapMinusRawRep4.bigWig"
"087C","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002736",,"GSM979632","Gingeras","RIKEN","CThi10049",,"cytosol","274bdd7e673e0c29c0981e389c661dcd",,"wgEncode","1x50",3,"longPolyA","Illumina_HiSeq_2000",,"25M",,6595,,"wgEncodeRikenCageA549CytosolPapPlusRawRep3","bigWig","PlusSignal","wgEncodeRikenCageA549CytosolPapPlusRawRep3.bigWig","wgEncodeRikenCageA549CytosolPapPlusRawRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapPlusRawRep3.bigWig"
"088C","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002736",,"GSM979632","Gingeras","RIKEN","CThi10059",,"cytosol","e14de5dee4e2a0c8c5ea6688dcaf9a4d",,"wgEncode","1x50",4,"longPolyA","Illumina_HiSeq_2000",,"26M",,6626,,"wgEncodeRikenCageA549CytosolPapPlusRawRep4","bigWig","PlusSignal","wgEncodeRikenCageA549CytosolPapPlusRawRep4.bigWig","wgEncodeRikenCageA549CytosolPapPlusRawRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapPlusRawRep4.bigWig"
"087N","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002737",,"GSM979633","Gingeras","RIKEN","CThi10106",,"nucleus","bdecc7faa264379e9d6f630a450a81bc",,"wgEncode","1x50",3,"longPolyA","Illumina_HiSeq_2000",,"39M",,6608,,"wgEncodeRikenCageA549NucleusPapMinusRawRep3","bigWig","MinusSignal","wgEncodeRikenCageA549NucleusPapMinusRawRep3.bigWig","wgEncodeRikenCageA549NucleusPapMinusRawRep3.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549NucleusPapMinusRawRep3.bigWig"
"088N","A549","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-30#,"wgEncodeEH002737",,"GSM979633","Gingeras","RIKEN","CThi10060",,"nucleus","294fdaa0b30a6765b26962d5b8805480",,"wgEncode","1x50",4,"longPolyA","Illumina_HiSeq_2000",,"69M",,6627,,"wgEncodeRikenCageA549NucleusPapMinusRawRep4","bigWig","MinusSignal","wgEncodeRikenCageA549NucleusPapMinusRawRep4.bigWig","wgEncodeRikenCageA549NucleusPapMinusRawRep4.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549NucleusPapMinusRawRep4.bigWig"
