"antibody","cell","composite","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","project","replicate","size","sub_id","table_name","type","view","filename","fname","url"
"ELAVL1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-19#,#2011-10-18#,"wgEncodeEH000796","GSM944520","Tenenbaum","SunyAlbany","SC_5261 antibody","17c56dd022ace9785367ebceb76ff581","wgEncode",,"565K",3306,"wgEncodeSunyRipSeqGm12878Elavl1Pk","broadPeak","Peaks","wgEncodeSunyRipSeqGm12878Elavl1Pk.broadPeak.gz","wgEncodeSunyRipSeqGm12878Elavl1Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Elavl1Pk.broadPeak.gz"
"ELAVL1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000796","GSM944520","Tenenbaum","SunyAlbany","SC_5261 antibody","ef861d9af632b0ba6a31c4e08009e16e","wgEncode",1,"101M",3408,"wgEncodeSunyRipSeqGm12878Elavl1SigRep1","bigWig","Signal","wgEncodeSunyRipSeqGm12878Elavl1SigRep1.bigWig","wgEncodeSunyRipSeqGm12878Elavl1SigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Elavl1SigRep1.bigWig"
"ELAVL1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000796","GSM944520","Tenenbaum","SunyAlbany","SC_5261 antibody","57fbc4d8b79d2410e432c9ac1cfb6e9f","wgEncode",2,"108M",3408,"wgEncodeSunyRipSeqGm12878Elavl1SigRep2","bigWig","Signal","wgEncodeSunyRipSeqGm12878Elavl1SigRep2.bigWig","wgEncodeSunyRipSeqGm12878Elavl1SigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Elavl1SigRep2.bigWig"
"PABPC1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-19#,#2011-10-18#,"wgEncodeEH000797","GSM944519","Tenenbaum","SunyAlbany","Sig_P6246 antibody","4031b3142d6ca841405544e019c32435","wgEncode",,"356K",3306,"wgEncodeSunyRipSeqGm12878Pabpc1Pk","broadPeak","Peaks","wgEncodeSunyRipSeqGm12878Pabpc1Pk.broadPeak.gz","wgEncodeSunyRipSeqGm12878Pabpc1Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Pabpc1Pk.broadPeak.gz"
"PABPC1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000797","GSM944519","Tenenbaum","SunyAlbany","Sig_P6246 antibody","68a5d00a2df7acc691e7f0c81510abb2","wgEncode",1,"71M",3408,"wgEncodeSunyRipSeqGm12878Pabpc1SigRep1","bigWig","Signal","wgEncodeSunyRipSeqGm12878Pabpc1SigRep1.bigWig","wgEncodeSunyRipSeqGm12878Pabpc1SigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Pabpc1SigRep1.bigWig"
"PABPC1","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000797","GSM944519","Tenenbaum","SunyAlbany","Sig_P6246 antibody","14fb7c1cc7e0be7d7f95e478fd4ddfee","wgEncode",2,"70M",3408,"wgEncodeSunyRipSeqGm12878Pabpc1SigRep2","bigWig","Signal","wgEncodeSunyRipSeqGm12878Pabpc1SigRep2.bigWig","wgEncodeSunyRipSeqGm12878Pabpc1SigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878Pabpc1SigRep2.bigWig"
"ripInput","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-19#,#2011-10-18#,"wgEncodeEH000798","GSM944525","Tenenbaum","SunyAlbany",,"b671dce6abc995f5e47157f84b6e0226","wgEncode",,"540K",3306,"wgEncodeSunyRipSeqGm12878RipinputPk","broadPeak","Peaks","wgEncodeSunyRipSeqGm12878RipinputPk.broadPeak.gz","wgEncodeSunyRipSeqGm12878RipinputPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878RipinputPk.broadPeak.gz"
"ripInput","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000798","GSM944525","Tenenbaum","SunyAlbany",,"6fc963d37686f8a7ba73b7adeea1f6e7","wgEncode",1,"43M",3408,"wgEncodeSunyRipSeqGm12878RipinputSigRep1","bigWig","Signal","wgEncodeSunyRipSeqGm12878RipinputSigRep1.bigWig","wgEncodeSunyRipSeqGm12878RipinputSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878RipinputSigRep1.bigWig"
"ripInput","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000798","GSM944525","Tenenbaum","SunyAlbany",,"e97f1cffaee0f2b9d4c8f2ee7058c6dc","wgEncode",2,"27M",3408,"wgEncodeSunyRipSeqGm12878RipinputSigRep2","bigWig","Signal","wgEncodeSunyRipSeqGm12878RipinputSigRep2.bigWig","wgEncodeSunyRipSeqGm12878RipinputSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878RipinputSigRep2.bigWig"
"T7Tag","GM12878","wgEncodeSunyRipSeq","RipSeq","ENCODE Jan 2011 Freeze",#2011-01-20#,#2011-10-20#,"wgEncodeEH000799","GSM944524","Tenenbaum","SunyAlbany","Nov_69522 antibody","444ecc13c927aec541fda438033827ba","wgEncode",1,"72M",3408,"wgEncodeSunyRipSeqGm12878T7tagSigRep1","bigWig","Signal","wgEncodeSunyRipSeqGm12878T7tagSigRep1.bigWig","wgEncodeSunyRipSeqGm12878T7tagSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSunyRipSeq/wgEncodeSunyRipSeqGm12878T7tagSigRep1.bigWig"
