"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"H3K4me1","HCT-116","wgEncodeSydhHistone","UCDavis","wgEncodeEH000627","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002874","GSM945858","Snyder","USC","PeakSeq1.0","d7102028f9c3fda79404a2348c1f054f",,,"wgEncode",,"exp","628K",6568,"wgEncodeSydhHistoneHct116H3k04me1UcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneHct116H3k04me1UcdPk.narrowPeak.gz","wgEncodeSydhHistoneHct116H3k04me1UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneHct116H3k04me1UcdPk.narrowPeak.gz"
"H3K4me1","HCT-116","wgEncodeSydhHistone","UCDavis","wgEncodeEH000627","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002874","GSM945858","Snyder","USC","PeakSeq1.0","611c23d4195f5ab25887ef53e83e92bc",,,"wgEncode",,"exp","266M",6568,"wgEncodeSydhHistoneHct116H3k04me1UcdSig","None","bigWig","Signal","wgEncodeSydhHistoneHct116H3k04me1UcdSig.bigWig","wgEncodeSydhHistoneHct116H3k04me1UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneHct116H3k04me1UcdSig.bigWig"
"H3K27ac","HCT-116","wgEncodeSydhHistone","UCDavis","wgEncodeEH000627","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002873","GSM945853","Snyder","USC","PeakSeq1.0","2168f302d028713490f4461ac3343bb6",,,"wgEncode",,"exp","433K",6567,"wgEncodeSydhHistoneHct116H3k27acUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneHct116H3k27acUcdPk.narrowPeak.gz","wgEncodeSydhHistoneHct116H3k27acUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneHct116H3k27acUcdPk.narrowPeak.gz"
"H3K27ac","HCT-116","wgEncodeSydhHistone","UCDavis","wgEncodeEH000627","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002873","GSM945853","Snyder","USC","PeakSeq1.0","8be2883073fb637d02e9acc5886fff66",,,"wgEncode",,"exp","137M",6567,"wgEncodeSydhHistoneHct116H3k27acUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneHct116H3k27acUcdSig.bigWig","wgEncodeSydhHistoneHct116H3k27acUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneHct116H3k27acUcdSig.bigWig"
"Input","HCT-116","wgEncodeSydhHistone","UCDavis","wgEncodeEH000627","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH000627","GSM945855","Snyder","USC","PeakSeq1.0","d0b4eea05631a7b8afd1f120ebc91501",,,"wgEncode",,"input","302M",6576,"wgEncodeSydhHistoneHct116InputUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneHct116InputUcdSig.bigWig","wgEncodeSydhHistoneHct116InputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneHct116InputUcdSig.bigWig"
"H3K27me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000912","GSM788088","Snyder","USC","PeakSeq1.0","f6617bce31addd03fb9ad1307fb70128",,,"wgEncode",,"exp","2.2M",1352,"wgEncodeSydhHistoneK562H3k27me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562H3k27me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562H3k27me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k27me3bUcdPk.narrowPeak.gz"
"H3K27me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000912","GSM788088","Snyder","USC","PeakSeq1.0","07986c25585e8f867aaed33f9a55d12a",,,"wgEncode",,"exp","308M",1352,"wgEncodeSydhHistoneK562H3k27me3bUcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562H3k27me3bUcdSig.bigWig","wgEncodeSydhHistoneK562H3k27me3bUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k27me3bUcdSig.bigWig"
"H3K4me1","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-20#,#2011-02-20#,"wgEncodeEH000911","GSM788085","Snyder","USC","PeakSeq1.0","8664dfcb4d4d7fc30f05b0b71d7bed49",,,"wgEncode",,"exp","2.0M",1205,"wgEncodeSydhHistoneK562H3k4me1UcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562H3k4me1UcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562H3k4me1UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k4me1UcdPk.narrowPeak.gz"
"H3K4me1","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-05-20#,#2011-02-20#,"wgEncodeEH000911","GSM788085","Snyder","USC","PeakSeq1.0","aab5c2e0b2ec10cc89bb706d7e7161b7",,,"wgEncode",,"exp","238M",1205,"wgEncodeSydhHistoneK562H3k4me1UcdSig","None","bigWig","Signal","wgEncodeSydhHistoneK562H3k4me1UcdSig.bigWig","wgEncodeSydhHistoneK562H3k4me1UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k4me1UcdSig.bigWig"
"H3K4me3B","K562","wgEncodeSydhHistone","UCDavis","wgEncodeEH000672","ChipSeq","ENCODE June 2010 Freeze",,#2010-06-11#,#2011-03-11#,"wgEncodeEH000913","GSM788087","Snyder","USC","PeakSeq1.0","dad2b246ea317d2b49316952132b480e",,,"wgEncode",,"exp","387K",1350,"wgEncodeSydhHistoneK562H3k4me3bUcdPk","None","narrowPeak","Peaks","wgEncodeSydhHistoneK562H3k4me3bUcdPk.narrowPeak.gz","wgEncodeSydhHistoneK562H3k4me3bUcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhHistone/wgEncodeSydhHistoneK562H3k4me3bUcdPk.narrowPeak.gz"
