"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"BHLHE40","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002817","GSM935440","Snyder","Stanford","PeakSeq1.0","98717e878d6338a04fc6709618d152eb",,,"wgEncode",,"exp","113K",,5539,,"wgEncodeSydhTfbsA549Bhlhe40IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549Bhlhe40IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549Bhlhe40IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Bhlhe40IggrabPk.narrowPeak.gz"
"BHLHE40","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002817","GSM935440","Snyder","Stanford","PeakSeq1.0","ba08798aa546c99de28dc79096bc0fb3",,,"wgEncode",,"exp","385M",,5539,,"wgEncodeSydhTfbsA549Bhlhe40IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549Bhlhe40IggrabSig.bigWig","wgEncodeSydhTfbsA549Bhlhe40IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Bhlhe40IggrabSig.bigWig"
"CEBPB","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002818","GSM935630","Snyder","Stanford","PeakSeq1.0","d909d96db3f4b8d2412dd7653af29d7e",,,"wgEncode",,"exp","1.7M",,5537,,"wgEncodeSydhTfbsA549CebpbIggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549CebpbIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549CebpbIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CebpbIggrabPk.narrowPeak.gz"
"CEBPB","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002818","GSM935630","Snyder","Stanford","PeakSeq1.0","e558b3e4ff02e48c70791c76d8cf054e",,,"wgEncode",,"exp","388M",,5537,,"wgEncodeSydhTfbsA549CebpbIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549CebpbIggrabSig.bigWig","wgEncodeSydhTfbsA549CebpbIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CebpbIggrabSig.bigWig"
"c-Myc","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003385","GSM1003607","Snyder","Stanford",,"adfd0e32d5582e6d308e088bba680b08",,,"wgEncode",,"exp","127K",,7843,,"wgEncodeSydhTfbsA549CmycIggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549CmycIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549CmycIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CmycIggrabPk.narrowPeak.gz"
"c-Myc","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003385","GSM1003607","Snyder","Stanford",,"dd49e94d886076d1b5bb80b932edb4a5",,,"wgEncode",,"exp","346M",,7843,,"wgEncodeSydhTfbsA549CmycIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549CmycIggrabSig.bigWig","wgEncodeSydhTfbsA549CmycIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CmycIggrabSig.bigWig"
"CTCF_(SC-15914)","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003384","GSM1003606","Snyder","Stanford",,"7264cd2dd1a9f716bb4536e89a539c21",,,"wgEncode",,"exp","720K",,7842,,"wgEncodeSydhTfbsA549CtcfbIggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549CtcfbIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549CtcfbIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CtcfbIggrabPk.narrowPeak.gz"
"CTCF_(SC-15914)","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-08-01#,#2013-05-01#,"wgEncodeEH003384","GSM1003606","Snyder","Stanford",,"6135077ab72216c596cd3f18e5724e1d",,,"wgEncode",,"exp","595M",,7842,,"wgEncodeSydhTfbsA549CtcfbIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549CtcfbIggrabSig.bigWig","wgEncodeSydhTfbsA549CtcfbIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CtcfbIggrabSig.bigWig"
"Input","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002819","GSM935629","Snyder","Stanford","PeakSeq1.0","11e22d2810dc38cb1c9dcd5c65968731",,,"wgEncode",,"input","361M",,5538,,"wgEncodeSydhTfbsA549InputIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549InputIggrabSig.bigWig","wgEncodeSydhTfbsA549InputIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549InputIggrabSig.bigWig"
"Max","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002820","GSM935298","Snyder","Stanford","PeakSeq1.0","d3c9ce580678dd18f9ee324f28a600aa",,,"wgEncode",,"exp","427K",,5540,,"wgEncodeSydhTfbsA549MaxIggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549MaxIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549MaxIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549MaxIggrabPk.narrowPeak.gz"
