"antibody","cell","composite","control","control_id","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","md5sum","project","replicate","seq_platform","set_type","size","sub_id","table_name","type","view","filename","fname","url"
"eGFP-FOS","K562","wgEncodeUchicagoTfbs","Control_eGFP-FOS","K562/Input/Control_eGFP-FOS","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001207","GSM777644","White","UChicago","2a6280868b59db45c28f4bd94ab6c9da","wgEncode",,"Illumina_GA2","exp","478K",3310,"wgEncodeUchicagoTfbsK562EfosControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562EfosControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562EfosControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EfosControlPk.narrowPeak.gz"
"eGFP-FOS","K562","wgEncodeUchicagoTfbs","Control_eGFP-FOS","K562/Input/Control_eGFP-FOS","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001207","GSM777644","White","UChicago","c7fb5effb153da5168b5c039a92f3a93","wgEncode",,"Illumina_GA2","exp","280M",3310,"wgEncodeUchicagoTfbsK562EfosControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562EfosControlSig.bigWig","wgEncodeUchicagoTfbsK562EfosControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EfosControlSig.bigWig"
"eGFP-GATA2","K562","wgEncodeUchicagoTfbs","Control_eGFP-GATA2","K562/Input/Control_eGFP-GATA2","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001208","GSM777641","White","UChicago","64b38546e77f71b87310cbeb7c3bf5d2","wgEncode",,"Illumina_GA2","exp","753K",3310,"wgEncodeUchicagoTfbsK562Egata2ControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562Egata2ControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562Egata2ControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Egata2ControlPk.narrowPeak.gz"
"eGFP-GATA2","K562","wgEncodeUchicagoTfbs","Control_eGFP-GATA2","K562/Input/Control_eGFP-GATA2","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001208","GSM777641","White","UChicago","4c4772065c94e2322e4037478b0d2b03","wgEncode",,"Illumina_GA2","exp","280M",3310,"wgEncodeUchicagoTfbsK562Egata2ControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562Egata2ControlSig.bigWig","wgEncodeUchicagoTfbsK562Egata2ControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Egata2ControlSig.bigWig"
"eGFP-HDAC8","K562","wgEncodeUchicagoTfbs","Control_eGFP-HDAC8","K562/Input/Control_eGFP-HDAC8","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001209","GSM777640","White","UChicago","5f54a00f490be9bd92213e0295408d81","wgEncode",,"Illumina_GA2","exp","260K",3310,"wgEncodeUchicagoTfbsK562Ehdac8ControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562Ehdac8ControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562Ehdac8ControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Ehdac8ControlPk.narrowPeak.gz"
"eGFP-HDAC8","K562","wgEncodeUchicagoTfbs","Control_eGFP-HDAC8","K562/Input/Control_eGFP-HDAC8","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001209","GSM777640","White","UChicago","a298f8d34d5191a653429549830151b5","wgEncode",,"Illumina_GA2","exp","280M",3310,"wgEncodeUchicagoTfbsK562Ehdac8ControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562Ehdac8ControlSig.bigWig","wgEncodeUchicagoTfbsK562Ehdac8ControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Ehdac8ControlSig.bigWig"
"eGFP-JunB","K562","wgEncodeUchicagoTfbs","Control_eGFP-JunB","K562/Input/Control_eGFP-JunB","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001210","GSM777638","White","UChicago","171e5b65d57537390e9e55accafb9afb","wgEncode",,"Illumina_GA2","exp","713K",3310,"wgEncodeUchicagoTfbsK562EjunbControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562EjunbControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562EjunbControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EjunbControlPk.narrowPeak.gz"
"eGFP-JunB","K562","wgEncodeUchicagoTfbs","Control_eGFP-JunB","K562/Input/Control_eGFP-JunB","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001210","GSM777638","White","UChicago","4836bef0a5d871a772c9fdfc36750e68","wgEncode",,"Illumina_GA2","exp","280M",3310,"wgEncodeUchicagoTfbsK562EjunbControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562EjunbControlSig.bigWig","wgEncodeUchicagoTfbsK562EjunbControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EjunbControlSig.bigWig"
"eGFP-JunD","K562","wgEncodeUchicagoTfbs","Control_eGFP-JunD","K562/Input/Control_eGFP-JunD","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001211","GSM777639","White","UChicago","97c915f0ad3c41a65bf4d61458d07c9b","wgEncode",,"Illumina_GA2","exp","1.3M",3310,"wgEncodeUchicagoTfbsK562EjundControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562EjundControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562EjundControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EjundControlPk.narrowPeak.gz"
"eGFP-JunD","K562","wgEncodeUchicagoTfbs","Control_eGFP-JunD","K562/Input/Control_eGFP-JunD","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001211","GSM777639","White","UChicago","57d573177b770eb54f2fcd07c2cad947","wgEncode",,"Illumina_GA2","exp","280M",3310,"wgEncodeUchicagoTfbsK562EjundControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562EjundControlSig.bigWig","wgEncodeUchicagoTfbsK562EjundControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562EjundControlSig.bigWig"
"eGFP-NR4A1","K562","wgEncodeUchicagoTfbs","Control_eGFP-NR4A1","K562/Input/Control_eGFP-NR4A1","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001212","GSM777637","White","UChicago","35973747f04c53456e53f30125e1ba96","wgEncode",,"Illumina_GA2","exp","125K",3310,"wgEncodeUchicagoTfbsK562Enr4a1ControlPk","narrowPeak","Peaks","wgEncodeUchicagoTfbsK562Enr4a1ControlPk.narrowPeak.gz","wgEncodeUchicagoTfbsK562Enr4a1ControlPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Enr4a1ControlPk.narrowPeak.gz"
"eGFP-NR4A1","K562","wgEncodeUchicagoTfbs","Control_eGFP-NR4A1","K562/Input/Control_eGFP-NR4A1","ChipSeq","ENCODE Jan 2011 Freeze",#2011-01-27#,#2011-10-27#,"wgEncodeEH001212","GSM777637","White","UChicago","5382d810da2bb9da2659800c694297f8","wgEncode",,"Illumina_GA2","exp","279M",3310,"wgEncodeUchicagoTfbsK562Enr4a1ControlSig","bigWig","Signal","wgEncodeUchicagoTfbsK562Enr4a1ControlSig.bigWig","wgEncodeUchicagoTfbsK562Enr4a1ControlSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUchicagoTfbs/wgEncodeUchicagoTfbsK562Enr4a1ControlSig.bigWig"
