"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"A549","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH000823","GSM651560","Stam","UW",,"f422ac43b37031a46c2acade09860afe",,,"wgEncode",1,"22M",3216,,"wgEncodeUwAffyExonArrayA549SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayA549SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayA549SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayA549SimpleSignalRep1.broadPeak.gz"
"A549","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH000823","GSM651561","Stam","UW",,"7e2b608ccaffdc32d0e9df4654fe9a40",,,"wgEncode",2,"22M",3216,,"wgEncodeUwAffyExonArrayA549SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayA549SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayA549SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayA549SimpleSignalRep2.broadPeak.gz"
"AG04449","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000375","GSM510528","Stam","UW",,"1e97768c2c1d98d1aa6c063093cbbe23",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayAg04449SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg04449SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayAg04449SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg04449SimpleSignalRep1.broadPeak.gz"
"AG04449","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000375","GSM510530","Stam","UW",,"53f6be35393403859ed3e6075906f88e",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayAg04449SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg04449SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayAg04449SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg04449SimpleSignalRep2.broadPeak.gz"
"AG04450","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000376","GSM510532","Stam","UW",,"9a18896ec8b1b1e6fcbbdb00be691849",,"hg18","wgEncode",1,"22M",2110,,"wgEncodeUwAffyExonArrayAg04450SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg04450SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayAg04450SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg04450SimpleSignalRep1.broadPeak.gz"
"AG04450","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000376","GSM510534","Stam","UW",,"b9e7d0ef1205142f793bd992d90aef97",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayAg04450SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg04450SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayAg04450SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg04450SimpleSignalRep2.broadPeak.gz"
"AG09309","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000377","GSM510522","Stam","UW",,"b02261b8b4e57b60edf54bf6371ed555",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayAg09309SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg09309SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayAg09309SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg09309SimpleSignalRep1.broadPeak.gz"
"AG09309","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000377","GSM510525","Stam","UW",,"9f899b9e692216384064c26801484126",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayAg09309SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg09309SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayAg09309SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg09309SimpleSignalRep2.broadPeak.gz"
"AG09319","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000378","GSM510536","Stam","UW",,"26f78b438499e1970fed87cb690f4972",,"hg18","wgEncode",1,"22M",2110,,"wgEncodeUwAffyExonArrayAg09319SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg09319SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayAg09319SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg09319SimpleSignalRep1.broadPeak.gz"
"AG09319","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000378","GSM510538","Stam","UW",,"d5e12edb70ca453569c98b72b63476c7",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayAg09319SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayAg09319SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayAg09319SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayAg09319SimpleSignalRep2.broadPeak.gz"
