"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"A549","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2012-03-27#,#2012-12-27#,"wgEncodeEH003146","GSM1014517","Stam","UW","DS14289","Hotspot-v5.2","cc42c2a82db60358786bf4ac6fd00d60",,"hg19","wgEncode",,"Illumina_HiSeq_2000","4.0M",6415,,"wgEncodeUwDgfA549Hotspots",,"broadPeak","Hotspots","wgEncodeUwDgfA549Hotspots.broadPeak.gz","wgEncodeUwDgfA549Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfA549Hotspots.broadPeak.gz"
"A549","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2012-03-27#,#2012-12-27#,"wgEncodeEH003146","GSM1014517","Stam","UW","DS14289","lmax-v1.0","89aa9966f9acc9d87b73fea34e491dfd",,"hg19","wgEncode",,"Illumina_HiSeq_2000","2.7M",6415,,"wgEncodeUwDgfA549Pk",,"narrowPeak","Peaks","wgEncodeUwDgfA549Pk.narrowPeak.gz","wgEncodeUwDgfA549Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfA549Pk.narrowPeak.gz"
"A549","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2012-03-27#,#2012-12-27#,"wgEncodeEH003146","GSM1014517","Stam","UW","DS14289","WindowDensity-bin20-win+/-75","7a5ff37a9a6d50927e8f3cd176640b8a",,"hg19","wgEncode",,"Illumina_HiSeq_2000","331M",6415,,"wgEncodeUwDgfA549Raw",,"bigWig","RawSignal","wgEncodeUwDgfA549Raw.bigWig","wgEncodeUwDgfA549Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfA549Raw.bigWig"
"A549","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2012-03-27#,#2012-12-27#,"wgEncodeEH003146","GSM1014517","Stam","UW","DS14289",,"b84a7662f39f937bf31c11513a3b06a2",,"hg19","wgEncode",,"Illumina_HiSeq_2000","482M",6415,,"wgEncodeUwDgfA549Sig",,"bigWig","Signal","wgEncodeUwDgfA549Sig.bigWig","wgEncodeUwDgfA549Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfA549Sig.bigWig"
"AG10803","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002441","GSM1014527","Stam","UW","DS12374","Hotspot-v5.2","7a3315fee10f8ebd9ed661a641fec950",,"hg19","wgEncode",,"Illumina_HiSeq_2000","3.5M",4883,,"wgEncodeUwDgfAg10803Hotspots",,"broadPeak","Hotspots","wgEncodeUwDgfAg10803Hotspots.broadPeak.gz","wgEncodeUwDgfAg10803Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAg10803Hotspots.broadPeak.gz"
"AG10803","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002441","GSM1014527","Stam","UW","DS12374","lmax-v1.0","ab016a624439667931df809246364a02",,"hg19","wgEncode",,"Illumina_HiSeq_2000","2.8M",4883,,"wgEncodeUwDgfAg10803Pk",,"narrowPeak","Peaks","wgEncodeUwDgfAg10803Pk.narrowPeak.gz","wgEncodeUwDgfAg10803Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAg10803Pk.narrowPeak.gz"
"AG10803","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002441","GSM1014527","Stam","UW","DS12374","WindowDensity-bin20-win+/-75","a74cdf99e7a9eb35c613f906cefed5bc",,"hg19","wgEncode",,"Illumina_HiSeq_2000","307M",4883,,"wgEncodeUwDgfAg10803Raw",,"bigWig","RawSignal","wgEncodeUwDgfAg10803Raw.bigWig","wgEncodeUwDgfAg10803Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAg10803Raw.bigWig"
"AG10803","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002441","GSM1014527","Stam","UW","DS12374",,"15adc5bee653dc66c579630974ec57b3",,"hg19","wgEncode",,"Illumina_HiSeq_2000","405M",4883,,"wgEncodeUwDgfAg10803Sig",,"bigWig","Signal","wgEncodeUwDgfAg10803Sig.bigWig","wgEncodeUwDgfAg10803Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAg10803Sig.bigWig"
"AoAF","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-07#,#2011-10-07#,"wgEncodeEH000841","GSM849029","Stam","UW","DS13513","Hotspot-v5.1","06be60e5eeeaef1f774b31716ef615c2",,"hg19","wgEncode",,,"3.5M",3191,,"wgEncodeUwDgfAoafHotspots",,"broadPeak","Hotspots","wgEncodeUwDgfAoafHotspots.broadPeak.gz","wgEncodeUwDgfAoafHotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAoafHotspots.broadPeak.gz"
"AoAF","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-07#,#2011-10-07#,"wgEncodeEH000841","GSM849029","Stam","UW","DS13513","lmax-v1.0","a058bab388dc308784da18698f136511",,"hg19","wgEncode",,,"2.8M",3191,,"wgEncodeUwDgfAoafPk",,"narrowPeak","Peaks","wgEncodeUwDgfAoafPk.narrowPeak.gz","wgEncodeUwDgfAoafPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAoafPk.narrowPeak.gz"
