"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-04#,#2011-10-04#,"wgEncodeEH001180","GSM736580","Stam","UW","DS14289","Hotspot-v5.1","082d2d74360188c4a766816e2858e015",,"hg19","wgEncode",1,"3.5M",3156,,"wgEncodeUwDnaseA549HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseA549HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseA549HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549HotspotsRep1.broadPeak.gz"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-05#,#2011-10-04#,"wgEncodeEH001180","GSM736506","Stam","UW","DS14285","Hotspot-v5.1","85a890981ce7e1e732e36c89e2bf03a8",,"hg19","wgEncode",2,"4.7M",3158,,"wgEncodeUwDnaseA549HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseA549HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseA549HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549HotspotsRep2.broadPeak.gz"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-04#,#2011-10-04#,"wgEncodeEH001180","GSM736580","Stam","UW","DS14289","lmax-v1.0","59e34c789a002f723b547bcb97560804",,"hg19","wgEncode",1,"1.4M",3156,,"wgEncodeUwDnaseA549PkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseA549PkRep1.narrowPeak.gz","wgEncodeUwDnaseA549PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549PkRep1.narrowPeak.gz"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-05#,#2011-10-04#,"wgEncodeEH001180","GSM736506","Stam","UW","DS14285","lmax-v1.0","f7fe3a8e0956ba5ccc3e64e9f201e5e8",,"hg19","wgEncode",2,"1.6M",3158,,"wgEncodeUwDnaseA549PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseA549PkRep2.narrowPeak.gz","wgEncodeUwDnaseA549PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549PkRep2.narrowPeak.gz"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-04#,#2011-10-04#,"wgEncodeEH001180","GSM736580","Stam","UW","DS14289","WindowDensity-bin20-win+/-75","524d647813a21c65e511c7b1faf1d520",,"hg19","wgEncode",1,"140M",3156,,"wgEncodeUwDnaseA549RawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseA549RawRep1.bigWig","wgEncodeUwDnaseA549RawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549RawRep1.bigWig"
"A549","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-05#,#2011-10-04#,"wgEncodeEH001180","GSM736506","Stam","UW","DS14285","WindowDensity-bin20-win+/-75","0b32bc5518d9651db6d2a09bd139db5d",,"hg19","wgEncode",2,"187M",3158,,"wgEncodeUwDnaseA549RawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseA549RawRep2.bigWig","wgEncodeUwDnaseA549RawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseA549RawRep2.bigWig"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-07#,#2010-01-06#,#2010-10-05#,"wgEncodeEH000505","GSM736562","Stam","UW","DS12319","Hotspot-v5.1","87e008d579732b45884d7113b7a17306",,"hg18","wgEncode",1,"3.9M",1257,,"wgEncodeUwDnaseAg04449HotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseAg04449HotspotsRep1.broadPeak.gz","wgEncodeUwDnaseAg04449HotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449HotspotsRep1.broadPeak.gz"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000505","GSM736590","Stam","UW","DS12329","Hotspot-v5.1","e4bb26f1fbe5f1c55ca43c2ec6a62d65",,"hg18","wgEncode",2,"4.3M",1548,,"wgEncodeUwDnaseAg04449HotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseAg04449HotspotsRep2.broadPeak.gz","wgEncodeUwDnaseAg04449HotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449HotspotsRep2.broadPeak.gz"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-07#,#2010-01-06#,#2010-10-05#,"wgEncodeEH000505","GSM736562","Stam","UW","DS12319","lmax-v1.0","0af330f171c3cf476eaeb92d4a529d32",,"hg18","wgEncode",1,"1.9M",1257,,"wgEncodeUwDnaseAg04449PkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseAg04449PkRep1.narrowPeak.gz","wgEncodeUwDnaseAg04449PkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449PkRep1.narrowPeak.gz"
"AG04449","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-07#,#2010-10-07#,"wgEncodeEH000505","GSM736590","Stam","UW","DS12329","lmax-v1.0","bdeeada72a713979e0d9a13419b1e169",,"hg18","wgEncode",2,"1.8M",1548,,"wgEncodeUwDnaseAg04449PkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseAg04449PkRep2.narrowPeak.gz","wgEncodeUwDnaseAg04449PkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseAg04449PkRep2.narrowPeak.gz"
