"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","Hotspot-v5.2","96532789e65b2005ec1d46fa17e38103",,"hg19","wgEncode",1,"exp","856K",4367,"wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","Hotspot-v5.2","750736c49619faa948866bf2d890d47e",,"hg19","wgEncode",2,"exp","965K",4366,"wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","lmax-v1.0","fd33a240467a8538f1f9b5031b357e4b",,"hg19","wgEncode",1,"exp","770K",4367,"wgEncodeUwHistoneA549H3k04me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","lmax-v1.0","63eecb3bed1bf108f3f917cd7ac6bbc9",,"hg19","wgEncode",2,"exp","771K",4366,"wgEncodeUwHistoneA549H3k04me3StdPkRep2","None","narrowPeak","Peaks","wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak.gz","wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","WindowDensity-bin20-win+/-75","e34d884207a2239fb5e7782cbab05ae7",,"hg19","wgEncode",1,"exp","49M",4367,"wgEncodeUwHistoneA549H3k04me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig","wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","WindowDensity-bin20-win+/-75","4201fdfcf2bec7d454a6bb018b7298b0",,"hg19","wgEncode",2,"exp","59M",4366,"wgEncodeUwHistoneA549H3k04me3StdRawRep2","None","bigWig","RawSignal","wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig","wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig"
"Input","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-29#,#2012-03-29#,"wgEncodeEH001904",,"GSM945243","Stam","UW","DS18301","WindowDensity-bin20-win+/-75","14eaea24d3e62bfa394ef44519dd6068",,"hg19","wgEncode",1,"input","151M",4349,"wgEncodeUwHistoneA549InputStdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneA549InputStdRawRep1.bigWig","wgEncodeUwHistoneA549InputStdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549InputStdRawRep1.bigWig"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15737","Hotspot-v5.1","bffc6cf8f66141444043decb6b317168",,"hg19","wgEncode",1,"exp","971K",2592,"wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15739","Hotspot-v5.1","06d8b4909078af357179379cc1c86807",,"hg19","wgEncode",2,"exp","909K",2593,"wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15737","lmax-v1.0","8a1e4908761d5b8eafa88e6bb05c3a0a",,"hg19","wgEncode",1,"exp","757K",2592,"wgEncodeUwHistoneAg04449H3k4me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak.gz"
