"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"CTCF","WI-38","wgEncodeUwTfbs","std","wgEncodeEH001903","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001902",,"GSM1022634","Stam","UW","DS18348","lmax-v1.0","a60c161e74780cafa7169540c23ee93d","hg19","wgEncode",2,"exp","445K",4395,"wgEncodeUwTfbsWi38CtcfStdPkRep2","None","narrowPeak","Peaks","wgEncodeUwTfbsWi38CtcfStdPkRep2.narrowPeak.gz","wgEncodeUwTfbsWi38CtcfStdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWi38CtcfStdPkRep2.narrowPeak.gz"
"CTCF","WI-38","wgEncodeUwTfbs","std","wgEncodeEH001903","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001902",,"GSM1022637","Stam","UW","DS18347","lmax-v1.0","d6148e5d95de79bc574b39101563b597","hg19","wgEncode",1,"exp","508K",4394,"wgEncodeUwTfbsWi38CtcfStdPkRep1","None","narrowPeak","Peaks","wgEncodeUwTfbsWi38CtcfStdPkRep1.narrowPeak.gz","wgEncodeUwTfbsWi38CtcfStdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWi38CtcfStdPkRep1.narrowPeak.gz"
"CTCF","WI-38","wgEncodeUwTfbs","std","wgEncodeEH001903","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001902",,"GSM1022634","Stam","UW","DS18348","Hotspot-v5.2","56b0a7d57f0a88add4b635ac3a765d18","hg19","wgEncode",2,"exp","2.6M",4395,"wgEncodeUwTfbsWi38CtcfStdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwTfbsWi38CtcfStdHotspotsRep2.broadPeak.gz","wgEncodeUwTfbsWi38CtcfStdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWi38CtcfStdHotspotsRep2.broadPeak.gz"
"CTCF","WI-38","wgEncodeUwTfbs","std","wgEncodeEH001903","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001902",,"GSM1022637","Stam","UW","DS18347","Hotspot-v5.2","2a0df09a35b705237351ae481aa82077","hg19","wgEncode",1,"exp","1.6M",4394,"wgEncodeUwTfbsWi38CtcfStdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwTfbsWi38CtcfStdHotspotsRep1.broadPeak.gz","wgEncodeUwTfbsWi38CtcfStdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWi38CtcfStdHotspotsRep1.broadPeak.gz"
"CTCF","WERI-Rb-1","wgEncodeUwTfbs","std","wgEncodeEH000475","ChipSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000402",,"GSM749679","Stam","UW","DS10408","lmax-v1.0","d3b4032778c0d2aae425952ac89ed139","hg18","wgEncode",2,"exp","697K",1492,"wgEncodeUwTfbsWerirb1CtcfStdPkRep2","None","narrowPeak","Peaks","wgEncodeUwTfbsWerirb1CtcfStdPkRep2.narrowPeak.gz","wgEncodeUwTfbsWerirb1CtcfStdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWerirb1CtcfStdPkRep2.narrowPeak.gz"
"CTCF","WERI-Rb-1","wgEncodeUwTfbs","std","wgEncodeEH000475","ChipSeq","ENCODE June 2010 Freeze",#2010-06-10#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000402",,"GSM749768","Stam","UW","DS10701","lmax-v1.0","8b4e4973819a7b9f556172882199b3d9","hg18","wgEncode",1,"exp","1.1M",1315,"wgEncodeUwTfbsWerirb1CtcfStdPkRep1","None","narrowPeak","Peaks","wgEncodeUwTfbsWerirb1CtcfStdPkRep1.narrowPeak.gz","wgEncodeUwTfbsWerirb1CtcfStdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWerirb1CtcfStdPkRep1.narrowPeak.gz"
"CTCF","WERI-Rb-1","wgEncodeUwTfbs","std","wgEncodeEH000475","ChipSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000402",,"GSM749679","Stam","UW","DS10408","Hotspot-v5.1","0f646f61cacfe0f21c78dbfe961b4634","hg18","wgEncode",2,"exp","2.7M",1492,"wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep2.broadPeak.gz","wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep2.broadPeak.gz"
"CTCF","WERI-Rb-1","wgEncodeUwTfbs","std","wgEncodeEH000475","ChipSeq","ENCODE June 2010 Freeze",#2010-06-10#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000402",,"GSM749768","Stam","UW","DS10701","Hotspot-v5.1","65968d574c3d7e4d9554e03507cc8e05","hg18","wgEncode",1,"exp","3.3M",1315,"wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep1.broadPeak.gz","wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep1.broadPeak.gz"
"CTCF","SK-N-SH_RA","wgEncodeUwTfbs","std","wgEncodeEH000474","ChipSeq","ENCODE June 2010 Freeze",#2010-06-10#,#2010-06-10#,#2011-03-09#,"wgEncodeEH000439",,"GSM749667","Stam","UW","DS12400","lmax-v1.0","1564f3e09164f441c6b6b87d8aaf9dd8","hg18","wgEncode",2,"exp","894K",1314,"wgEncodeUwTfbsSknshraCtcfStdPkRep2","None","narrowPeak","Peaks","wgEncodeUwTfbsSknshraCtcfStdPkRep2.narrowPeak.gz","wgEncodeUwTfbsSknshraCtcfStdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsSknshraCtcfStdPkRep2.narrowPeak.gz"
"CTCF","SK-N-SH_RA","wgEncodeUwTfbs","std","wgEncodeEH000474","ChipSeq","ENCODE June 2010 Freeze",#2010-06-10#,#2009-10-19#,#2010-07-19#,"wgEncodeEH000439",,"GSM749693","Stam","UW","DS12399","lmax-v1.0","d8ab7dcdd22ed428a6c1d8cf296dffc5","hg18","wgEncode",1,"exp","905K",1313,"wgEncodeUwTfbsSknshraCtcfStdPkRep1","None","narrowPeak","Peaks","wgEncodeUwTfbsSknshraCtcfStdPkRep1.narrowPeak.gz","wgEncodeUwTfbsSknshraCtcfStdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwTfbs/wgEncodeUwTfbsSknshraCtcfStdPkRep1.narrowPeak.gz"
