phastConsElements46wayPlacental	phastConsElements46wayPlacental
phastConsElements46wayPrimates	phastConsElements46wayPrimates
phastConsElements46way	phastConsElements46way
phastConsElements100way	phastConsElements100way
cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1.CNhs12331.10821-111C2.hg19.ctss.bed	B_20lymphoblastoid_20cell_20line_3a_20GM12878_20ENCODE_2c_20biol_rep1_CNhs12331_10821_111C2_hg19_ctss
cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2.CNhs12332.10822-111C3.hg19.ctss.bed	B_20lymphoblastoid_20cell_20line_3a_20GM12878_20ENCODE_2c_20biol_rep2_CNhs12332_10822_111C3_hg19_ctss
cell_line.hCAGE-B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3.CNhs12333.10823-111C4.hg19.ctss.bed	B_20lymphoblastoid_20cell_20line_3a_20GM12878_20ENCODE_2c_20biol_rep3_CNhs12333_10823_111C4_hg19_ctss
cell_line.hCAGE-Burkitt's lymphoma cell line:DAUDI.CNhs10739.10422-106C8.hg19.ctss.bed	Burkitt_27s_20lymphoma_20cell_20line_3aDAUDI_CNhs10739_10422_106C8_hg19_ctss
cell_line.hCAGE-Burkitt's lymphoma cell line:RAJI.CNhs11268.10476-106I8.hg19.ctss.bed	Burkitt_27s_20lymphoma_20cell_20line_3aRAJI_CNhs11268_10476_106I8_hg19_ctss
cell_line.hCAGE-Ewing's sarcoma cell line:Hs 863.T.CNhs11836.10705-109H3.hg19.ctss.bed	Ewing_27s_20sarcoma_20cell_20line_3aHs_20863_2eT_CNhs11836_10705_109H3_hg19_ctss
cell_line.hCAGE-Hep-2 cells mock treated, biol_rep1.CNhs13479.11898-125E8.hg19.ctss.bed	Hep_2_20cells_20mock_20treated_2c_20biol_rep1_CNhs13479_11898_125E8_hg19_ctss
cell_line.hCAGE-Hep-2 cells mock treated, biol_rep2.CNhs13500.11899-125E9.hg19.ctss.bed	Hep_2_20cells_20mock_20treated_2c_20biol_rep2_CNhs13500_11899_125E9_hg19_ctss
cell_line.hCAGE-Hep-2 cells mock treated, biol_rep3.CNhs13501.11900-125F1.hg19.ctss.bed	Hep_2_20cells_20mock_20treated_2c_20biol_rep3_CNhs13501_11900_125F1_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep1.CNhs13477.11890-125D9.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_205448_2c_20biol_rep1_CNhs13477_11890_125D9_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep2.CNhs13496.11891-125E1.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_205448_2c_20biol_rep2_CNhs13496_11891_125E1_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain 5448, biol_rep3.CNhs13497.11892-125E2.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_205448_2c_20biol_rep3_CNhs13497_11892_125E2_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep1.CNhs13478.11894-125E4.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_20JRS4_2c_20biol_rep1_CNhs13478_11894_125E4_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep2.CNhs13498.11895-125E5.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_20JRS4_2c_20biol_rep2_CNhs13498_11895_125E5_hg19_ctss
cell_line.hCAGE-Hep-2 cells treated with Streptococci strain JRS4, biol_rep3.CNhs13499.11896-125E6.hg19.ctss.bed	Hep_2_20cells_20treated_20with_20Streptococci_20strain_20JRS4_2c_20biol_rep3_CNhs13499_11896_125E6_hg19_ctss
cell_line.hCAGE-Hodgkin's lymphoma cell line:HD-Mar2.CNhs11715.10435-106E3.hg19.ctss.bed	Hodgkin_27s_20lymphoma_20cell_20line_3aHD_Mar2_CNhs11715_10435_106E3_hg19_ctss
cell_line.hCAGE-Krukenberg tumor cell line:HSKTC.CNhs11822.10687-109F3.hg19.ctss.bed	Krukenberg_20tumor_20cell_20line_3aHSKTC_CNhs11822_10687_109F3_hg19_ctss
